timestamp,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0xBdA2ca0611c2a952a4A25bfC175803912842c839,​0x97deC872013f6B5fB443861090ad931542878126,​0x505846a0a89dd26fA5cD0677FD5406039c218620,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xC9c01bc57186A5f0981c4e6F4884BeaEB562E532,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x4bdFad117A88c780f3Cdd4622B35fe7F77906192,Other
1591725334000,,,,,0.01,,,,
1591793059000,,,,,0.02,,,,
1591859571000,,,0.01,,0.02,,,,
1591926628000,0.03,,,,1.19,,,,
1591993124000,,,,0.77,2.62,,0.04,,
1592060020000,,,,,0.23,,,,
1592126059000,,,,,0.51,,,,
1592193218000,,,0.06,,0.82,,,,
1592259061000,,,,,0.82,,0.16,,0.01
1592326391000,,,,,0.00,,,,
1592393573000,,0.10,,,0.92,,,,
1592460543000,,,,,0.75,,,,0.00
1592527754000,,,,,0.27,,,,
1592594022000,,,,,2.73,,,,
1592727831000,,,,,0.31,,,,
1592794125000,,,,,0.12,,,,
1592861502000,,,,,1.28,,,,
1592927890000,,,,,2.69,0.05,,,
1592995513000,,,0.41,,2.02,,,0.05,
1593062546000,,,,,0.83,,,,0.01
1593128647000,,,,,1.00,,,,
