timestamp,​0xcB18B23d3FD1a69b520A6F9fb7f0dE37525fB291,​0x3C112d7558a9a80Ef8a19342A5869B69D16C39B5,​0x2B75EC32D07a5ac429b1d8b5209aB92049A06CcA,​0x644239848C7b402D813295893dB428aaE7CC4CB5,​0x60E7ba91afd79CE71635b9249072Bd43A63EA390,​0xE0739dD38A53283126b1F85C60f0527F29DB7F75,​0x5e349eca2dc61aBCd9dD99Ce94d04136151a09Ee,​0x68076B44B93E7F43975bb7560130EFC298FAFeD4,​0x97deC872013f6B5fB443861090ad931542878126,​0xdde8E01979e1e8CfC1a788B65313Ee9382478BF1,​0x8700B87C2A053BDE8Cdc84d5078B4AE47c127FeB,​0x84C86A11dDA7AaB3831Cebb9884b0BC657B813e7,​0xE8D848debB3A3e12AA815b15900c8E020B863F31,​0x0AfECc5965a13840d93210a6985eEb216e2ad4Ea,​0xC3FdAdbAe46798CD8762185A09C5b672A7aA36Bb,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x2718874048aBcCEbE24693e689D31B011c6101EA,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x337101dEF3EEb6F06e071EFE02216274507937Bb,​0x0492b9170EC01D91f3aa721FF8AdA42dd33FBBb8,Other
1579848954000,,,,,,,,,,1.92,,,,,,,,,,,
1579915579000,,,0.94,,0.25,,0.98,,2.04,,,,2.00,,,0.96,,0.43,,,
1579982233000,,,,1.10,,,,,,,,,,,,,2.29,0.50,,0.50,
1580049245000,,,,,,,,1.18,,,,,,,,,,,,,
1580180893000,,,,,,,,,,,,,,,,,,,1.20,0.05,
1580380051000,,8.29,,,,,,,,,2.52,,,,,,,0.53,,,
1580579921000,,,,,,,,,,,,,,,1.52,,,0.58,,,
1580910496000,,,,,,,,,,,1.50,,,,,,,,,,
1581043789000,,,,1.47,,,,,,,,,,,,,,,,,
1581110121000,,,,,,,,,,,,6.80,,,,,,,,,
1581177428000,1.26,,,,,,,,,,,,,,,,,,,,
1581508790000,,,,,,0.63,,,,,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,,0.00
1581774043000,,,,,,,,,,,,5.97,,,,,,,,,
1583235956000,,,,,,,,,,,,,,0.29,,,,,,,
1583567810000,,,,,,,,,,,,5.36,,,,,,,,,
1586966921000,,,,,,,,,,,,,,,,,1.50,,,,
