timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,Other
1604125251000,0.21,,,,
1604191395000,0.38,,,,
1604257692000,1.09,,,,
1604324653000,0.68,,,,
1604390633000,1.87,,,,
1604457123000,0.21,,,,
1604523521000,1.70,,,,
1604589935000,1.55,,,,
1604655075000,6.21,1.79,,,
1604721624000,5.90,2.00,,,
1604788406000,3.15,1.26,,,
1604855096000,3.58,1.51,,0.97,
1604921012000,8.08,0.13,0.43,0.29,0.01
