timestamp,​0x0d9bEeC648A92BD0C8cd92339F5611AED0D3b2ca,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xaEbbd80Fd7dAe979d965A3a5b09bBCD23eB40e5F,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,Other
1549913781000,0.18,,0.18,,,,
1567255013000,0.20,,,,,,
1567726271000,,,,,0.37,,
1569412741000,,,,,0.36,,
1590047677000,,0.52,,,,,
1590248502000,,0.36,,,,,
1590383553000,,0.67,,1.61,,,
1590652494000,,,,,,0.34,
1590786531000,,,,,,0.25,
