timestamp,​0x2A23527A6dBAfAE390514686D50F47747D01E44d,​0xF37e7812A5Fbf4830b6Ff0737A84f49FfEC5a9EC,​0xBc306a88F17cb88DaDcBB80A60E8a93E9B74558c,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x1B40b0e16707170f5df69EBb753EB1a2b15966B9,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0xA808A6124f865f1815F1FfC95b216e7AC84b3719,​0x8e0EDD852cA828543d0869b48D7e053204827C98,​0x0aA7dddf7038c1ed18824f48Ea92EaE20499aFA7,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x9c08C88F7EFB3869EC368b00a8c6beE166038074,​0xAfd9034Aba776D09C52b573c0b8bEcfd2b22FB5a,​0xfF08Bd9198cF2642E012D868AC29CE4C08a6d90c,​0x2024bB490824704168eDC96889A1F70DC93793F9,​0x85249c1064AdBf8473b5B0634f1DB7C56323C378,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0xfb2064Ca07dC81Ee5b6b869Cd6Bb822b1772fCc3,Other
1580711822000,,,,0.05,,,,,,,,,,,,,,,,,,
1581574720000,,,,0.05,,,,,,,,,,,,,,,,,,0.00
1581641265000,,0.06,,,,,,,,,,,,,,,,,,,,
1582306851000,,,0.28,,,,,,,,,,,,,,,,,,,
1582372667000,,,,,,,0.21,,,,,,,,,,,,,,,
1583168974000,,,,0.03,0.06,,,,,,,,,,,,,,,,,
1583502285000,,,,0.05,,,,,,,,,,,,,,,,,,
1583699841000,,,,,,,,,,,,0.06,,,,,,,,,,
1584234522000,,,,0.05,0.10,,,,,,,,,,,,,,,,,
1584434720000,,,,0.05,,,,,,,,,,,,,,,,,,
1584833664000,,,,,,,,0.19,,,,,,,,,,,,,,
1585239172000,,,,0.10,,,,,,,,,,,,,,,,,,
1585637238000,0.33,,,0.23,,,,,,,,,,,,,,,,,,
1586236183000,,,,,0.05,,,,,,,,,,,,,,,,,
1586368858000,,,,,,0.01,,,,,,,,,,,,,,,,
1586767741000,,,,,,,,,,,,,,,,,,,0.01,,,
1587368133000,,,,,,,,,,,,,,,,,,,0.04,,,
1587701744000,,,,,,0.07,,,,,,,,,,,,,,,,
1588104246000,,,,,,,0.11,,,,,,,,,,,,,,,
1588305064000,,,,,,,,,,,,0.01,,,,,,,,,,
1588371539000,,,,,,,,,,,,,,,,,,,,,,0.00
1589040204000,,,,,,,,,,,,,,,,,,,0.06,,,
1589174391000,,,,,,,0.14,,,,,,,,,,,,,,,
1589241093000,,,,,,,,,,,,0.02,,,,,,,,,,
1589308656000,,,,,0.10,,,,,,,,,,,,,,,,,
1589442351000,,,,,,,,,,,,,,,,,,,0.04,,,
1589980117000,,,,,,,0.11,,,,,,,,,,,,,,,
1590181994000,,,,,,,,,,,,,,,,,,,0.11,,,
1591054955000,,,,,,,,,,,,0.06,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,0.00
1591926628000,,,,,,,,,,0.01,,,,,,,,,,,,
1593262962000,,,,,,,,,,,,,0.17,,,,,,,,,
1593330837000,,,,,,,,,,,,,,,,,,,0.12,,,
1593732971000,,,,,,,,,,,,,,,,,,,,0.00,,
1595805432000,,,,,,,,,,,,,,,0.09,,,,0.19,,,
1596006108000,,,,,,,,0.35,,,,,,,,,0.14,,,,,
1596606713000,,,,,,,,,0.10,,,,,,,,,,,,,
1597207222000,,,,,,,,,,,,,,,,0.01,,,,,,
1597606146000,,,,,,,,,,,,,,,,,,,,,0.03,
1598138530000,,,,,,,,,,,0.15,,,,,,,,,,,
1598271030000,,,,,,,,,,,,,,,,,0.14,,,,,
1598668615000,,,,,,,,,,,,,,0.10,,,,,,,,
1599131830000,,,,,,,,,,,,,,,,,,0.10,,,,
