timestamp,​0xeD9be6D94f31fd2ef3A5bA5130C06E1239966A9c,​0x2E3C88e40906E6ee996478C7F6169818DB71070E,​0xa015fE2a1947B23AD454E699F8CbbDa419671F5e,Other
1579122050000,0.06,,0.05,
1581574720000,,,,0.00
1581907086000,,0.34,,
