timestamp,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x97deC872013f6B5fB443861090ad931542878126,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x1bcFE4f499DB23909a5DDc33D6E2D879531176EC,Other
1584766483000,,0.00,,,,,,
1584970249000,,0.01,,,,,,
1585036977000,2.12,4.69,,,0.11,0.30,,0.00
1585105600000,1.00,0.21,,,,0.30,,
1585173391000,0.26,0.26,0.02,,0.02,,,0.01
1585239172000,,2.24,,,,0.29,,
1585306138000,,1.11,,,0.06,,,0.02
1585372283000,,2.41,,0.21,,0.19,,
1585438491000,,0.21,,,,,,
1585504149000,,0.26,,,,,,
1585571105000,,0.15,,,,,,
1585637238000,,1.41,,,,,,
1585704243000,0.44,1.34,0.06,0.00,,,,
1585770840000,0.38,1.59,,,,,,
1585836257000,,0.42,,,,,,0.01
1585903293000,0.21,0.11,,,,,0.09,0.00
1585969610000,,0.39,,,,0.01,,
1586036191000,,,,,,,,0.01
1586102872000,,0.00,,,,,,
