timestamp,​0xAc634149b12075C9861BB7Ce0Fb04e9B0fB2FFCA,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x7981bcf1D85748b9D7B73583766b924DfF21a169,​0x0D8B63dfD61f98B7A488DEA9B47BE46F78F1A66F,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xBFeeE68c40e7Ffffa00Bf6b12739E85E1d5Db8D3,​0x34B814F416e6811877D65ef51C4443198c1e000E,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x4941Fe8aa3AB7DEc7391279EC1e89AF348EdaFd3,​0x4138e34E5f688915f7B7A31B64da0fbBAc8D1413,Other
1580645575000,,,0.00,,,,0.08,,,,
1580711822000,,,,,,,0.00,,,,
1580778615000,,,0.16,,,,0.08,0.02,,,
1580844182000,,,,,,,0.01,,,,0.00
1581043789000,,,,0.00,,,,,,,
1581110121000,,,0.47,,,,,0.10,,,
1581508790000,,,0.01,,,,,,,,
1581574720000,,,,,,,0.17,,,,0.00
1581641265000,,0.14,0.07,,,,0.46,,,,
1581707956000,,,,,,,,0.04,,,
1581907086000,,,,0.04,,,,0.01,,,
1582372667000,,,,,,,0.05,,,,
1584234522000,,,0.01,,,,,,,,
1584500082000,,,,,0.07,,,,0.30,,
1584902413000,,0.20,,,0.05,,,,,0.11,
1585239172000,,,,,,,,,,0.19,
1585306138000,,0.22,,,,,,,,,
1586434964000,,,,,,,,0.01,,,
1588771981000,0.22,,,,,,,,,,
1588839881000,,0.07,,,,0.08,,,,,
1589241093000,,,0.09,,,,,,,,
1589375621000,,,,,,0.20,,,,,
