timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0xb7520a5F8c832c573d6BD0Df955fC5c9b72400F7,​0x73eB7A4756eF34B903d8f0D320138FA4f2e4Ec5b,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,Other
1602270387000,,,,3.45,,,0.02
1602337276000,,,,2.60,,,
1602403481000,,,,0.68,,,
1602469107000,,,,0.00,,,
1602535471000,,,,0.59,,,
1602601229000,,,,1.71,,,
1602667579000,,,,0.43,,,
1602865569000,,,,0.77,,,
1602998570000,,,,0.20,,,
1603065231000,0.00,,,0.21,,,
1603130753000,0.33,,,2.00,,,
1603196826000,,,,0.66,,,
1603263141000,0.25,,,2.55,,,
1603329593000,0.10,,,3.86,,1.67,
1603395740000,,,0.37,2.65,,,
1603462512000,,,,0.95,,0.16,
1603528247000,0.20,,,1.19,,,
1603594450000,,,,0.60,0.11,,
1603661160000,,,,0.27,,,
1603728251000,,,,0.25,,,
1603793902000,,,,2.43,,,
1603860005000,,0.50,,1.14,,,
1603925650000,,,,1.33,,,
