timestamp,​0x03D5FA623546f82d7a44da39601D22998774af63,​0x4ffEE90a6a189751D8a484b4c3061C6994D99a56,​0x6E84B595E18bBAd036596904d90C3EfD5592aEC0,​0x00026Fb301b679Bf337b3Fad2c1c70248482e12C,​0xD9EfD5942f15b436e53554A8706C16F46eB6663e,​0x6bCC88Bf5D501e4a21c0f9F914dF9d2993D112b2,Other
1598271030000,0.11,,0.10,,,,
1598602302000,,,0.10,,,,
1599661253000,,,0.20,,,,
1600920149000,,,0.20,,,,
1601053079000,,,,,,0.20,
1601390741000,,,,0.97,,,
1601459154000,0.12,,,,,0.20,
1604523521000,,1.00,,,,,
1608768583000,,,,,0.98,,
