timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,Other
1603462512000,0.69,0.99,,
1603528247000,0.49,0.73,,
1603594450000,,1.17,0.20,
1603661160000,0.38,0.79,0.30,
1603728251000,,0.02,,
1603793902000,,10.87,,
1603860005000,,1.04,,
1603925650000,0.43,0.88,,
1603992067000,,1.57,,
1604059142000,1.37,4.30,,
1604125251000,,1.26,,
1604191395000,,1.14,,
1604257692000,,2.27,,
1604324653000,,2.11,,
1604390633000,4.70,4.40,,
1604457123000,2.68,7.42,,
1604523521000,1.37,3.83,,
1604589935000,,5.05,,
