timestamp,​0x8bF1e340055c7dE62F11229A149d3A1918de3d74,​0xe8aF12E3C4d34d3Aa27A38258D6ce1b803a37E02,​0x03c245bAFCC0a80cD73b170D26e3d3663B90793C,​0xb07DCF527789534b2Ef625f7cF1d2Ab9a2DaF6a9,​0x5B93FF82faaF241c15997ea3975419DDDd8362c5,​0xE04885c3f1419C6E8495C33bDCf5F8387cd88846,​0xC3F6e18b429b6BAf1bD31B1E504aee7827C7AAb5,​0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,​0xf386B1F376a776fCFE7A686d04319f4E7177665C,Other
1578857025000,,,1.60,,0.83,,,3.19,,
1578923015000,0.85,,,0.32,,0.77,,1.64,,
1579055596000,,,,,,,,1.44,,
1579122050000,,,,,,,,,1.45,
1579453251000,,0.80,,,,,,0.79,,
1579518909000,,,,,,,0.10,,,
1579783170000,,,,,,,,0.75,,
