timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1599395453000,0.53,
1599461746000,0.42,
1599528172000,0.14,
1599661253000,0.31,
1599859185000,0.64,
1599991924000,0.20,
1600125024000,1.02,
