timestamp,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x50af627e6b8Fc889B0Ffd8812198E87c78330557,​0x8F3C6aaB1f3b29f61Bf860cB766ce0F6f2477935,​0xDfF4E36859F93cc4DceA84713bE756Eb9770F358,​0xf6D3b696F29Fd97c5063f2E6E83C0844F106f327,​0x37dE109b2767E46A68B44a544e0Ac34db60ACDD7,​0xCE0c61aBF9866FEf5767e102Cf227F294b3459E5,​0xCf815caA0ce4dFba248Ff328b9b5282A87e26A89,Other
1575519604000,,,7.99,,,,,0.01,0.02
1576627001000,,,12.37,0.10,,,,,
1576713534000,1.30,,,,,0.05,,2.00,0.01
1576971438000,,4.08,,,,,,,
1578327837000,,2.06,,,,,,,
1579055596000,,3.28,,,,,,,
1579320115000,,2.09,,,,,,,0.00
1579717286000,,1.03,,,,,,,
1580313366000,,1.04,,,,,,,
1580446477000,,,,,,,1.04,,
1580645575000,,,,,1.27,,1.03,,
1580711822000,,,,,,,1.07,,
