timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xF3d18cf23B137fFae2B3E4E5C05A54d229c6996a,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1608305426000,0.46,,0.18,0.20,1.53,
1608372164000,0.56,,,,0.77,
1608437899000,,,,,0.64,
1608569893000,,,,,2.48,
1608636545000,,,,,1.14,
1608702922000,,,,0.86,,
1608768583000,,0.57,,0.39,1.46,
1608835449000,,,,,0.43,
1608902154000,,,,,1.78,
1608968406000,,,,,0.72,
1609034138000,,,,,0.06,
1609100774000,,,,,2.64,
1609165810000,,,,,0.85,
1609232681000,,,,,0.38,
1609300140000,,,,,0.32,
1609431762000,,,,,0.38,
1609563999000,0.53,,,,0.01,
1609630001000,0.76,,,,0.70,
1609696530000,,,,,0.31,
1609895571000,,,,,0.45,
