timestamp,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x5288d2E8feBaE87f0A4674F667a5a03c34978BbD,​0x5b4ADc18ea92C7f438f6258432dbFf441f68B6F6,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x41B96e9c6758D12A7a1f67952466b2E104532604,​0x75C8242218861fF22Cdf01fBa59e51Fc9D3B3465,​0x2C99d50Eb4DAA1D26b5bA0b1dAaB58cBFc0AC3E6,​0x9089B874f7535064145f746eFE7aCf91f7bDBCd3,​0x834f8Cdaa7e43FAe3D44Bd45973d688B32809A7c,​0x0AC545310921E4885Dc4cf5F758D7C49e8974482,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,Other
1598602302000,,,,,,,,,,,,,,,1.07,,
1598668615000,,,,,,,,,,,,,,,0.67,,
1599131830000,,,,0.69,,,,,,,,,,,,,
1599197725000,,,,,,10.44,,,,,,,,,3.00,,
1599263811000,,,,,,,,,,,,,,,1.65,,
1599330041000,,,,,,,,,,,,,,,1.28,,
1599395453000,,,,,,,,,,,,,,,4.24,,
1599461746000,,,,,,,,,,,,,,,4.47,,
1599661253000,,,,,,,,,,,,,,,8.21,,
1599859185000,,,,,,0.16,,,,,,,,,0.72,,
1600057881000,,,,,,,,,,,,,,,1.77,,
1600125024000,,,,,,,,,,,,,,,3.77,,
1600190832000,,,,,,,,,,,,,,,2.01,,
1600257235000,,,,,,,,,,,,,,,2.30,,
1600323285000,,,,,,,,,,,,,,,0.28,,
1600456406000,,,,,,,,,,,,,1.98,,,,
1600522839000,,,,,,,,,,,,,,,1.44,,
1600589122000,,,,,,,,,,,,,,,4.24,,
1600654235000,,,,,,,,,,,,,,,0.82,,
1600719844000,,,,,,,,,,1.16,,,,,5.62,1.16,
1600786926000,,,,,,,,,,,,,,,2.95,,
1600920149000,,,,,,,,,,,,,,,24.49,,
1600986137000,,,,,,,,,,,,,,,12.18,,
1601053079000,,,,,,,,,,,,,,,4.19,,
1601120014000,,,,,,,,,,,,,,,2.82,,
1601255204000,,,,,,,,,,,,,,,1.52,,
1601323528000,,,,,,,,,,,,,,,11.34,,
1601390741000,,,,,,,,,,,,,,,1.36,,
1601525869000,,,,,,,,,,,,,,,1.50,,
1601592730000,8.12,,,,,,,,,,,,,,5.19,,
1601660827000,,,,,,,,,,,,,,,1.27,,
1601728631000,,,,,,,,,,,,,,,3.69,,
1601796104000,,,,,,,,,,,,,,,2.09,,
1601863935000,,,,,,,,,,,,,,,2.31,,
1601931072000,,,,,,,,,,,,,,,6.11,,
1601998104000,,,,,,,,,,,,,,,1.47,,
1602202095000,,,,,,,,,,,,,,,0.31,,
1602270387000,,,,,,,,,,,,,,,13.23,,
1602535471000,,,,,,,,,,,,,,,2.74,,
1602601229000,,,,,,,,,,,,,,,3.65,,
1602865569000,,,,,,,,,,,,,,0.86,7.59,,
1602931980000,,,,,,,0.53,,,,,,,,2.40,,
1602998570000,2.20,,,,,,,,,,,,,,1.27,,
1603065231000,,,,,,,,,,,,,,,1.74,,
1603196826000,,,,,,,,,,,,,,,0.16,,
1603329593000,,,,,,,,,,,,,,,2.07,,
1603395740000,,,,,,,,,,,,,,,0.30,,
1603462512000,0.34,,,,,,,,,,,,,,2.28,,
1603528247000,,,,,,,,,,,,,,,0.25,,
1603594450000,0.26,,,,,,,,,,,,,,0.07,,
1603661160000,,,,,,,,,0.58,,,,,,2.84,,
1603728251000,,,,,,,,,,,,,,,0.26,,
1603793902000,,,,,,,,,,,,,,,1.29,,
1603860005000,,,,,,,,,,0.10,,,,,2.76,,
1603925650000,,,,,,,0.58,,,,,,,,2.09,,
1603992067000,,,,,,,,,,,,,,,2.22,,
1604059142000,,,,,,,,,,,,,,0.00,5.16,,
1604125251000,,,,,,,,,,,,,,2.30,7.38,,
1604191395000,,,,,,,,,,,,,,,2.00,,
1604257692000,,,,,,,,,,,,,,,4.79,,
1604324653000,,,,,,,,,,,,,,,0.62,,
1604390633000,,0.24,,,,,,,,,,,,,9.79,,
1604523521000,,0.10,0.44,,,,,,,,0.29,,,,10.05,,
1604589935000,,,,,,,,0.53,,,,,,,4.93,,
1604655075000,,,,,,,,,,,,,,,3.96,,
1604721624000,,,,,,,,,,,,,,,0.57,,
1604788406000,,,,,,,,,,,,,,,1.98,,
1604921012000,,0.03,,,,,,,,,,,,,1.43,,
1605054181000,,,,,,,,,,,,,,,2.16,,
1605120052000,,,,,,,,,,,,,,,0.23,,
1605319158000,,,,,,,,,,,,,,,1.13,,
1605385703000,,,0.21,,,,,,,,,,,,0.17,,
1605451285000,,,,,,,,,,,,,,,3.75,,
1605517681000,1.58,,0.83,,,,,,,,,,,,1.33,,0.18
1605583771000,,,,,,,,,,,,,,,0.20,,
1605650122000,,,,,,,,,,,,,,,0.10,,
1605915938000,,,,,,,,,,,,,,,1.07,,
1606048118000,,,,,,,,,,,,0.97,,,0.55,,
1606114478000,,,,,,,,,,,,,,,0.24,,
1606181350000,,0.06,,,,,,,,,,,,,0.40,,
1606247275000,,,,,,,,,,,,,,,1.88,,
1606314098000,,,,,,,,,,,,,,,1.37,,
1606380252000,,,,,0.26,,,,,,,,,,,,
1606446290000,,,,,,,,,,,,,,,0.87,,
1606513752000,,,,,,,,,,,,,,,0.73,,
1606579323000,,,,,,,,,,,,,,,0.12,,
1606777403000,,,,,0.80,,,,,,,,,,,,
1606911253000,,,,,,0.09,,,,,,,,,,,
1606976748000,,,,,,,,,,,,,,,0.02,,
1607176193000,,,,,0.20,,,,,,,,,,,,0.06
1607441996000,,,,,,,,,,,,,,,,,0.06
1607508150000,,,,,,,,,,,,,,,0.00,,
1607573702000,,,,,,,,,,,,,,,0.00,,
1607640980000,,,,,,,,,,,,,,0.52,,,
1607774843000,,,,,0.43,,,,,,,,,,0.03,,
1607907786000,,,,,0.20,,,,,,,,,,,,
1607973990000,,0.03,,,,,,,,,,,,,0.03,,
1608172715000,,,,,0.18,,,,,,,,,,0.03,,
1608636545000,,,,,,,,,,,,,,,0.15,,
1608835449000,,,,,,,,,,,,,,,0.16,,
1608902154000,,,,,,,,,,,,,,,0.00,,
1608968406000,,,,,,,,,,,,,,,0.00,,
