timestamp,​0x06eb1027f15a5c57275498A97538d35f483862D8,​0xf8fFF4959B9cDEaEB0FF03199D7e51cB438e92C6,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x02Ab1B3A8ac8E1Aa17756058E67ef68be0508a2d,​0x145E0b7Db8D9a2CBa291d656B34802fAb7BF2DbE,​0x4bdFad117A88c780f3Cdd4622B35fe7F77906192,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0x97deC872013f6B5fB443861090ad931542878126,Other
1591926628000,,,,,,1.44,,,,,,
1591993124000,1.70,,2.12,,0.14,9.12,0.94,,,0.36,,
1592060020000,,,0.53,,0.42,3.65,,0.61,1.10,,0.13,
1592126059000,0.52,,,0.08,,0.68,,,,,,
1592193218000,2.58,,,,,3.33,,,0.44,,,
1592259061000,1.73,,0.85,0.84,1.48,7.91,,,1.06,,0.00,
1592326391000,0.54,0.95,,0.96,0.28,1.27,,,,,,
1592393573000,0.67,,,,0.01,0.05,,,,,,
1592460543000,0.95,,0.36,0.14,,2.32,0.25,,,,0.61,
1592527754000,0.80,,0.51,0.89,,2.39,,,,,0.63,
