timestamp,​0xB2A320fF837629d3fB08f9f0B056822CF29496EE,​0xd0615037BBE05e45B75f26858D9CbA76E4D969B2,​0x70e6cE3ad8744E457E788c04F5E5EB1a626974Cc,​0x4d5838816e938aAD70e4859DD1FD899F5E6e6498,​0xc542b24e3130c3BC28aBA4f4d320A026113b7C5e,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0xED376BE0003D1C6626DD8C353b84697e315a821C,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x4952f5dDE00A0677365E42D33bCc5A8aBD4E2B43,​0xE27092A95f28A5bEdADa521375fbf13eb00e4F74,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0xA540fb50288cc31639305B1675c70763C334953b,​0xd7D4B894CEA1949B7485Dc04d1Bd2F637ffEC65D,​0xfa2aa643122bD2b17f1f6473973988BBC6e399B7,​0x7059010320d07a47d2Ad54db88bB89Ea644C3e6F,​0x3d1507891DD07Ea04cFabFe2E0853E359d0cbc3d,​0xB4468D4e7bCa669933c4A4dC6C268E8e43996c95,​0xff15BE7eB263f70fC9349C2f930e641686E154aD,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x46188f0bB4928E3d851Ec8E70CFEd58f17C7D2C8,​0x408EaFCA573E29629C2d7789D1Cd3AA388b00210,​0x2C9aA75080F97bC94728184Ed1F331e41259EFCC,​0x97deC872013f6B5fB443861090ad931542878126,​0xE01bBaeAB9c54DeF1eb2fbBE13db28F38f5345F6,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0xA77E1550CB41828daB40c9A3e2c4B0F12013405a,​0x2BA56A2415DEdAaeF2a54a1A6CC90d4555e0000d,​0xD524262feC411a64B019330bE56e9DD19dE63A9b,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0xa4efD976B96370f552787644f9f43cD50FFf9ccd,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x7b946969234ad637c56bf5D2459eF969981B1ca3,​0x6e68C9704Edfd8870378A9545794403F0302D270,​0x82D5CBe057F17BF58c728829C7AEd242Fe5B4623,​0x9c52dF223Ab7054544D1bd57e5d154F97Bf36656,​0xb7d0596e636dBEc773075372868b14d5a224C0Fd,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x661B6EF5717Cd3113009Fe875297f3e6F41f2bEd,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,Other
1565039690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1565106699000,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,0.01
1565375748000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
1565643196000,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565710691000,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565776959000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1565911450000,,,,,,,,,1.10,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
1565978340000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566179461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1566448943000,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567054177000,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567457291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1568130759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1568737700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
1568939678000,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569412741000,,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,
1569817983000,,,,,,,,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570156245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1570223512000,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570290984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1571851268000,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,
1572060724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1572198558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1572267917000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1572615810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1573101222000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1573455245000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573670409000,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1574030120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
1574175364000,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1574319702000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1574390894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1574463158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574753753000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574829912000,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,
1574906610000,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575059347000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1575366165000,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575519604000,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575596839000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1575673602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1576456679000,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
