timestamp,​0x5A9C414CAF48bd0492E56efdc73a8457e8C3B892,​0xbC132A4996777Ba309805C1c4d87c727afcD31aa,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x015737b20425D52e020Fb1b35E2e3D0EFA29E11E,​0x45EEd6EAf67279212b9eD01dc57f35A52F9D3542,​0x8f69c969296f70397ACa7211fce097B5983beEea,​0x5deE759699E83CBc165fa0bF12F80a9Ad11c6A00,​0x9a7A75E66B325a3BD46973B2b57c9b8d9D26a621,​0x66FD4A1A38B0B0Ce871e8489cb8Ec59444f6432a,​0xf27aD293FD6AB822df767ed5b02721fd1C1ecc48,​0x7e150140Dd91be6d1553b24ed13039d83990A90F,​0xa340c56A61B54a1BEF829b05Ceb10801D4461300,​0xaE76c84C9262Cdb9abc0C2c8888e62Db8E22A0bF,​0x66B3830FB343Dbd74cc3623495F801DfCb5585eA,​0xeF462dDA16066e5f61042972E96b882c18aAe3b5,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xCA24F7d1c2aAD4aE49fD72dD2B80a12d82D5EC1F,​0x9a076Edb637E85371e006D250426Ad2545721696,​0x29Bc8911647e22a2F7AD4A4eD1eCE946aCee8b71,​0xC9724026b6770122e11Adf0ba0f57930C748673a,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xDb5CA08633F7ce26f7e3B48C16eaF9F18788Ba0E,​0x101308c3ba07B0C4003a9EAe2e68B38B68dEA572,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xf8eF4D5D73a278bF1595b46C62451EdBfe94309F,​0x7D2b6223EEc1eBcb2Bfd5bF3a71Cc365A39F5145,Other
1573171451000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1573240765000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,
1573311556000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1573382543000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1573598526000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,
1573814675000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1574030120000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1574175364000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,
1574248216000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,
1574319702000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1574390894000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,
1574606767000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,0.00
1574677937000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,0.00
1574753753000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1574829912000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,
1574906610000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,
1575059347000,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,
1575136068000,,,,,,,0.01,,,,,,,,,,,,0.00,,0.00,,,,,,,,0.00
1575212493000,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
1575288653000,,,,,,,0.00,,,,,,,,,,,,0.00,,,,0.00,,,,,,0.01
1575366165000,,,,,,,0.00,,,,,,,,,,,,0.00,,,,0.00,,,,,,0.00
1575442393000,,,,,,,0.00,,,0.00,,,,,,,,,0.01,,,,0.00,,,,,,0.00
1575519604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1575596839000,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,0.00
1575673602000,,,,,,,,,,0.00,,,,,,,,,0.00,,0.00,,,,,,,,
1575749392000,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,,,
1575826602000,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,,0.00
1575903384000,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,
1575979374000,,,,,,,,,,0.00,,,,,,,,,0.00,,0.00,,,,,,,,0.00
1576056123000,,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,
1576208669000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
1576372313000,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1576799699000,,0.00,,,,,,,,,,,,0.00,,,,,,,0.01,,,,,,,,0.00
1576886273000,,0.01,,,,,,,,0.00,,,,,,,,,0.00,,0.03,,,,,,,,
1576971438000,,0.00,,,,,,,,0.00,,,,0.00,,,,,0.01,,0.01,,,,,,,,
1577057861000,,,,,,,,,,0.01,,,,,,,,,0.02,,0.00,,,,,,,,
1577143907000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
1577229621000,,,,,,,,,,,,,,,,,,,,,0.07,,0.02,,,,,,0.00
1577315631000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1577402327000,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,0.31,
1577488582000,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,0.02,
1577573599000,,,,,,0.20,0.01,,,,,,0.19,,,,,,,,0.05,,,,,,,0.05,
1577659927000,,,,,,,,,,0.00,,,,,,,,,,,0.01,,,,,,,,
1577746179000,,,,0.02,,,,,,,,,,,,,,,,,0.39,,,,,,,0.08,
1577832303000,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,0.00
1577918935000,,,,,,,,,,,,,,,,,,,0.00,,0.01,,,,,,,,
1577997589000,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1578129566000,,,,,,,,,,,,,,,,,,0.04,,,0.09,,,,,0.08,,,
1578195701000,,,,,,,0.01,,,,,,,,,,,0.05,,,0.05,,,,,0.09,,,
1578261907000,,,0.09,,,,,,0.01,,,,,,,,,0.09,,,0.00,,,,,0.09,,,
1578327837000,0.06,,,,,,0.05,,,,,,,,0.07,,,,,0.32,0.07,,,,,,,,
1578393679000,,,,,,,,,,,,,,,,,,,,0.03,0.06,,,,,,,,
1578526345000,,,,,0.02,0.18,,0.09,,,,,,,,,,,,,,,0.01,,,,,0.21,
1578592894000,,,,,,,,,0.02,,,,,,,,,,0.01,,,,,,,,,,0.01
1578658814000,,,,,,,0.16,,,,,,,,,,,,0.05,,0.06,,,,,,,,
1578724741000,,,,,,,0.05,,0.01,,,,,,,0.04,,,,,0.07,,,0.03,,,,,
1578790822000,,,,,0.04,,,,,,,,,,,,,,0.17,,0.14,,,,,,0.19,,
1578857025000,,,,,,,,,,,,,,,,,,,,,0.28,,,0.00,,,0.22,0.08,
