timestamp,​0xEff3DD6BD74eDA3BD9097CEBA1c3f35FC339533d,​0x868f4e359778E6c46fB4fa2630EE497A03Fe6C3E,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x505C02B4aa1286375FBDF0c390AC0fe9209DCB05,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x270cd0b43f6fE2512A32597C7A05FB01eE6ec8E1,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x88dF13889E20EFa93Ff9a0C08f101F431bD9DDD7,​0x97deC872013f6B5fB443861090ad931542878126,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x92110d207d646D5Ab266fBBfc800744314FC57ff,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x6bFa119a191576Ba26Bc5e711432aCA0cFda04DE,​0x2388C11d0532CE92A99d16D1980cc5980cF575C3,​0xB791c10824296881f91BDbC16367BbD9743fd99b,Other
1576713534000,,,,,1.03,,,,,,,,,,,,,0.22,,,,,
1576799699000,,,,0.47,,,,,,,,,,,,,,,,,,,
1576886273000,,,,,0.13,,,,,,,,,,,,,,,,,,
1576971438000,,,,0.11,,,,,,,,,,,,,,,,,,,
1577057861000,,,,,0.43,,,,,,,,,,,,,,,,,,
1577143907000,,,,,0.11,,,,0.50,,,,,,,,,,,,,,
1577315631000,,,,,,,,,0.11,,0.13,,,,,,,,,,,,
1577402327000,,,,,0.51,,,,0.39,,,,,,,,,,,,,,
1577488582000,,,,,0.10,,,,0.12,,0.11,,,,,,,,,,,,
1577573599000,,,,,0.23,,,,,,,,,,,,,,,,,,
1577659927000,,,,,0.73,,,,0.10,,,,,,,,,,,,,,
1577746179000,,,,,,,,,0.24,,,,,,,,,,,,,,
1577832303000,,,,,,,,,0.32,,,,,,,,,,,,,,
1577918935000,,,,,0.32,,,,0.09,,,,,,,,,,,,,,
1577997589000,,,,,,,,,0.26,,,,,,,,,,,,,,
1578063677000,,,,,0.47,,,,0.17,,,,,,,,,,,,,,0.01
1578129566000,,,,,0.10,,,,,,,,,,,,,,,,,,
1578195701000,,,,,0.15,,,,,,,,,,,,,,,,,,0.01
1578261907000,,,,,0.23,,,,,,,,,,,,,,,,,,
1578327837000,,,,0.40,0.62,,0.03,,5.94,,,,,0.85,,,,,,,5.88,,
1578393679000,,,,,,,,,,,,,,,,0.04,,,,,,,
1578459841000,,,,,0.36,,,,0.19,,,,,,,,,,,,,,
1578526345000,,,,,0.12,,,,0.47,,,,0.10,,,,,,,,,,
1578592894000,,,,,0.34,,0.31,,,,,,0.10,,,,,0.09,,,,,
1578724741000,,,,,0.46,,,,,,,,,,,,,,,,,,
1578790822000,,,,,0.22,,,,0.11,,,,0.10,,,,,,,,,,
1578923015000,,,,,0.25,,,,,,,,,,,,,0.11,,,,,
1578989540000,,,,,0.40,,,,,,,,,,,,,0.13,,,,,
1579055596000,,,,,1.65,,,,0.16,,,,0.18,,,,,,,,,,
1579122050000,,,,,0.47,,,,0.54,,,,0.21,,,,,,,,,,
1579188604000,,,,,0.23,,0.16,,0.20,,,,,,,,,,,,,,
1579254375000,,,,,0.60,,,,,,,,,,,,,,,,,,
1579320115000,,,,,0.34,,,,0.21,,0.10,,,,,,,,,,,,0.00
1579386588000,,,,,0.61,,0.22,,0.11,,,,,,,,,0.13,,,,,
1579453251000,,,,,0.09,,0.08,,0.62,,,,,0.53,,,,,,,,,
1579518909000,,,,,0.11,,,,,,,,,,,,,,,,,,
1579584998000,,,,,0.19,,0.10,,0.09,,,,,,,,,,,,,,0.00
1579650516000,,,,,0.29,,,,0.10,,,,,,,,,,,,,,
1579717286000,,,,,,,,,0.10,,,,,,,,,,,,,,
1579783170000,,,,,,,,,0.28,,,,,,,,,,,,,,
1579848954000,,,,,0.10,,,,0.40,,,,,,,,,,,,,,
1579915579000,,,,,0.34,,,,0.25,,,,,,,,,,,,,,
1579982233000,,,,,0.19,,,,0.10,,,,,,,,,,,,,,
1580049245000,,,,,0.10,,,,,,,,,,,,,0.09,,,,,
1580114658000,,,,,0.28,,,,,,,,,,,,,,,,,,
1580180893000,,,,,0.32,,,,,,,,,,,,,,,,,,
1580313366000,,,,,0.31,,,,,,,,,,,,,,,,,,
1580380051000,,,,,0.09,,,,0.20,,,,,,,,,,,,,,0.01
1580446477000,,,,,0.51,,,,,,,,,,,,,,,,,,
1580512997000,,,,0.11,0.09,,0.18,,,,,,,,,,,0.04,,,,,
1580579921000,,,,,0.11,,,,,,,,,,,,,,,,,,
1580645575000,,,,,0.42,,,,,,,,,,,,,,,,,,0.02
1580711822000,,,,,0.22,,,,0.09,,,,,,,,,,,,,,0.02
1580778615000,,,,,0.11,,,,,,,,0.20,,,,,,,,,,
1580844182000,,,,,0.08,,,,0.21,,,,,,,,,,,,,,
1580910496000,,,,,0.37,,,,,,,,,,,,,,,,,,
1580977343000,,,,,0.75,,,,0.12,,,,,,,,,,,,,,
1581043789000,,,,,0.52,,,,,,,,0.13,,,,,,,,,,0.00
1581110121000,,,,,0.12,,,,,,,,,,,,,,,,,,
1581177428000,,,,,0.27,,,,,,,,0.13,,,,,,,,,,
1581243665000,,,,,0.19,,,,,,,,,,,,,,,,,,0.01
1581310184000,,,,,,,,,0.09,,,,0.10,,,,,,,,,,
1581375300000,,,,,0.18,,,,,,,,0.24,,,,,,,,,,
1581441429000,,,,,0.62,,0.08,,,,,,0.08,,,,,,,,,,
1581508790000,,,,,0.71,,,,,,,,,,,,,,,,,,
