timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1607109266000,1.44,9.71,
1607176193000,,2.55,
1607375492000,,0.21,
1607441996000,,0.59,
1607508150000,,0.97,
1607640980000,,2.42,
1607708371000,,0.46,
1607774843000,,0.89,
1607907786000,,0.74,
1607973990000,,1.18,
1608039974000,,0.31,
1608106809000,,0.47,
1608172715000,,0.30,
1608305426000,,0.94,
1608569893000,,0.42,
1608636545000,,1.16,
1608702922000,,2.43,
1608768583000,,6.02,
1608835449000,,8.77,
1608902154000,,3.13,
1608968406000,,1.19,
1609034138000,0.79,0.93,
