timestamp,​0x0AE62cCDb17f4f8C1eec2c823400E2AC8EdB9Acb,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,Other
1605252569000,,,,0.03,,
1605319158000,,,,0.44,,
1605385703000,,,0.32,1.34,,
1605451285000,,,0.10,2.10,,
1605517681000,,0.87,,2.37,1.57,
1605583771000,,,,0.40,,
1605717149000,,0.81,,1.64,,
1605783309000,,0.29,,2.16,,
1605849265000,,,,2.72,,
1605915938000,,,,2.87,,
1605982271000,,,,1.14,,
1606048118000,,,,1.05,,
1606114478000,,0.54,,1.08,,
1606247275000,,,,1.11,,
1606314098000,,,0.13,0.27,,
1606380252000,0.26,,,1.60,0.32,
1606446290000,,,,9.17,,
1606513752000,,,,3.53,,
1606579323000,,,,0.64,,
1606711814000,,0.79,,1.50,,
1606777403000,0.80,,,0.86,,
1606843839000,,,,1.75,,
1606911253000,,,,0.08,,
1606976748000,,,,0.72,,
1607176193000,,,,0.05,,
1607242529000,,,,0.01,,
1607375492000,,,,0.00,0.23,
1607441996000,,,,0.24,,
1607573702000,,,,0.06,,
1607774843000,,,,0.02,,
