timestamp,​0x60a87cC7Fca7E53867facB79DA73181B1bB4238B,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x0DC411b17d337Af85D83eA5A3577D09132Aae866,​0xD5462a7a8712ae3353fD89B32aB8C2258A348538,​0x5fC7467F7b58Fba859231c0dF65c78d17271931F,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xF4A2242b65ae445BDed599394efb02aBb3248473,​0xE6C198d27a5B71144B40cFa2362ae3166728e0C8,​0xbAAA655B82f58a6b24Bbc4E3bbf208B5A251A054,​0x000fb73517ff2b4EdF73Bb5D4f5A3a3c0A14Ed3a,​0xe4eAa5EA49F9f11E7514a3A7B5923C9cB347C476,​0x216f2541F4B612218A2fE17c75a89FACE8F86835,​0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,​0x82D5CBe057F17BF58c728829C7AEd242Fe5B4623,​0x5a186B7FeC36909678211F69beB67EC3b1E4fFBB,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x25d446d7B693AE3eaC71A9F68F33a0f33628A741,​0x96d00c60772346E151f2f6D0E9387d0708b826bA,​0x26E068650ae54b6c1b149e1B926634b07e137b9F,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0xDaCC0fd259CE0DE2829B38A0765970e7ab65346C,​0x702AB485B17EB0a6BF79Bca5ab002461e80D7B70,​0x65d25E3F2696B73b850daA07Dd1E267dCfa67F2D,​0x511dbE9e6b7EDE607f47D00a681BD5C7a6D397A1,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x165Cc5f47Cdb55bad3282B6543CbBf6542e06cdc,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x0f5b2479d1ac2E1B051874b3004A8509C0A97D67,​0xe7F3722A36F1A08c4Db998122553785D94081EBF,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x2C9aA75080F97bC94728184Ed1F331e41259EFCC,​0x95328D98630779834f3e46f78F900042bC2bDD15,​0x44DC359714e0c75f11fC9aB3ae212962262364c2,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x06423cE89dbE96B4c3Cb89BCC39c5642eD851ceD,​0x22F9dCF4647084d6C31b2765F6910cd85C178C18,​0x65798E5C90a332bBFa37C793F8847c441dF42D44,​0x6551623830F860b7a5B0DCD7848c2d5Ee7D87abc,Other
1544689901000,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
1546978150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,
1547828619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1549628950000,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549913781000,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,
1550633598000,,,,,,,0.14,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,1.04,
1551703372000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,
1553519035000,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,,,,,,,,
1554331280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,,,
1557223295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,
1557763956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,,,,,,,
1558032652000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,
1559382148000,,,,,,,3.81,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,0.18,,,,,,,
1560870679000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,
1561140851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,
1561275287000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,
1562218341000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,
1562553800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,,,,,,,,
1563025451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,
1563295219000,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,
1566448943000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,
1567524520000,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567591445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
1567658685000,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569209597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,
