timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,Other
1604655075000,2.05,0.28,0.68,,
1604721624000,1.18,,,,
1604788406000,2.98,,,,
1604855096000,1.57,,,,
1604921012000,0.21,,,0.20,
