timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1595002354000,,,0.90,,
1595068938000,0.53,,1.48,,
1595135940000,,,0.30,0.03,
1595270294000,,,0.30,,
1595338300000,,,0.98,,
1595405073000,,0.39,0.60,,
1595471028000,,0.22,,,
1595537940000,,,0.86,,
1595604570000,,0.34,,,
1595672114000,,,0.19,,
1595738927000,,0.31,0.07,,
1595939151000,,,0.28,,
1596406368000,,,0.01,,
