timestamp,​0xCe40659E95E79Ff9F541E12B235A4Fd54AD18408,​0x79d8d027bb6C981476A5Cb8d79ac6b66b2779f3E,​0xD634F9029058B04dC938e171Cc078D5418e10b14,​0x854B1D424F47c60F523d2131A3d9056667304fa3,​0xE3e5eDd996Eb347e652ed8f036589bF507948749,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x31Bb711de2e457066c6281f231fb473FC5c2afd3,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x9D71657276a25c1D3B84E3Cb570E58e5B51741F3,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,Other
1582372667000,,,,,,,,,,,,0.04,
1583633541000,,,,,,,,,,,0.03,,
1587568237000,,,,,,,,,,0.14,,,
1587902337000,,,,,,,0.01,0.01,,,,,
1589442351000,,,,,,,,,0.00,,,,
1590987649000,,0.05,,,,,,,,,,,
1591054955000,,,,,,,,,0.00,,,,
1599131830000,,,0.16,,,,,,,,,,
1601187908000,,,,0.06,,,,,,,,,
1602865569000,,,,,,0.04,,,,,,,
1604059142000,0.00,,,,,,,,,,,,
1604257692000,,,,,0.00,,,,,,,,
