timestamp,​0xE09e9F5128e8F795e9A441A2625F8bf4a073FE2B,​0xDA9f28a1b0CE18b011A404f3372d98C3E3143569,​0xDbB59151b18Dd72E9AC092706e93De5b5d7a9325,​0x0E245E7f432dc5F464b953796F4D2Dbcdcd7A2a6,​0x5539F23Eefd1C272a5B63F2C8a13e65E2D1c197F,​0xC3746825f13c07Dcd7e6fDb9C0c80A9aFFb18952,​0xe77f4ad2D5d75c91B94fb7829171ef44335CeC0D,​0x08cEb8Bba685ee708C9c4c65576837cbE19B9dea,​0xb7F73311a823FA70059Cf6e22A842C3BD64c53C3,​0xfAb9a3D37999E12252b47468D2FFD4BE15936012,​0x3c79141D360acd2f3f17F6be9e48a8b0373495B0,​0x23E37d8f0aFfAcabFA7A7DF2E1115131b79041BA,​0x7279532c307C140d5594142eeE1eFc6523c529ED,​0x5E79A38034862733788EEfdC3FfEDB094444c482,​0x721931508DF2764fD4F70C53Da646Cb8aEd16acE,​0x57503Fa42086300CdA9fCEe6FA95915F5bb04680,​0x42a60D2f2FfA2150C568010A8D425f0AAD284fd2,​0x7ba62Ae607faFEf41030f33DB3dAead1960d7fF5,​0x0B2A092CFaC76Dd3a6fAbc89f1c31278e8B41D1F,​0xEC84c9E20359E451C2f3F74A462E962656CaE368,​0x3b408B5946B2Cebf75066F6097F50D9382A4dE64,​0x1E36A5979c613F52F8CB956638B07602C7e7e1F7,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0x94f939704e811d9E65Fc57D11C836C4809CD116c,Other
1601187908000,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1601255204000,,,,,,,,,,,0.16,0.03,,,,,,,0.54,0.05,,0.11,0.20,,0.02
1601323528000,,,,,,,,,0.10,,,,,,,,,,,,,,,,
1601390741000,,,,0.23,0.10,,,,,,,,,,,0.45,0.38,1.88,,,,,,,
1601459154000,,,,,,,,,,,,,,,,,0.31,,,,,,,,
1601525869000,,,0.14,,,,,,,,,,,,,,0.09,,1.43,,,,,,
1601592730000,0.19,,,,,0.63,,,,,,,,,,0.18,,0.86,2.11,,,,,,0.02
1601660827000,0.62,,0.46,,,,,,,,0.12,,,,1.01,,0.13,0.42,2.02,,,,,0.14,0.00
1601728631000,1.15,0.11,,,,,,,,,,0.06,,,,,,,,,,,,,
1601796104000,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,
1601863935000,0.76,,,,,,0.03,,,,,,,,,,,,,,,,,,
1601931072000,,,0.14,,,,,,,,,,,,,,,,,,,,0.30,,
1601998104000,,,,,,,,,,,,,,,,,,,,0.05,,,,,
1602065856000,,,,,,,,,,0.03,,,,,,,,,,,,,,0.20,
1602133843000,,,,,,,,,,,,,,0.39,,,,,,,0.94,,,,
1602202095000,,,0.14,,,,,0.28,,,,,,,,,,,,,,,,,
1602337276000,,,,,,,,,,,,,,,,,,,,,0.28,,,,
1602403481000,,,,,,,,,,,,,1.94,,,,,,,,,,,,
1602469107000,,,,,,,,,,,,,,,,,0.14,,,,,,,,
