timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x145E0b7Db8D9a2CBa291d656B34802fAb7BF2DbE,Other
1593800162000,,,7.61,3.99,
1593866326000,,,0.26,,
1593933211000,,0.59,0.03,,
1594067228000,,,0.56,0.30,
1594133831000,,,0.14,,
1594199176000,,,0.87,,
1594334149000,,,0.66,,
1594400599000,,,1.76,,
1594467342000,,,0.88,,
1594600559000,,,1.21,,
1594667176000,,,0.05,,
1594734577000,,,0.55,,
1594801444000,,,0.61,,
1594935634000,,,0.22,,
1595068938000,,,0.94,,
1595202619000,,,0.08,,
1595270294000,,,0.04,,
1595338300000,,,1.66,,
1595471028000,,,0.52,,
1595604570000,,,0.01,,
1595672114000,,,0.04,1.02,
1595805432000,,,0.01,0.55,
1595939151000,0.94,,,,
