timestamp,​0x4f38F2DA7720F1077A45b80E88c0A78C0144c136,​0x6A75712e70fAe2344c6D46CBb95BD422Af604216,​0x87d80DBD37E551F58680B4217b23aF6a752DA83F,​0x79e49298c28A273EE90E713b9373D9fd2411d073,​0x4caC902dE30F930F1B01C3A96FB5b3Ea061e2577,​0x40D80168B6663700B6AE55d71a8c2Cf61d0C1225,​0x8Da29a7b1f8a2F7c47F6A89caB6e4c76d3754581,​0xdBdF0A42Ee6809E4C4350F99539e91B91b4ae4b0,​0xF8b46aBba47c4Cd591800Cc134eA78485083F041,​0xd906979081fcB040F00213E86fb887A12DE2c495,​0xD3e9D60e4E4De615124D5239219F32946d10151D,​0xC56e614288f4292D079ff11744407b58359Cd095,​0x5893b294A6a4cC220C009Ad81607DcA59650D57C,​0x8963E6c64b43B5ED6Adf1eF465f20deb7fDd1Db2,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x2A60A54d83D98C0e70DBB52b8a1AA989354650D1,​0xF9107317B0fF77eD5b7ADea15e50514A3564002B,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xCaFcd62114Cfc1d16298a1CFec409BCa139c899b,​0x82aa7f697B9Bc19F286D286D130405c0850A2E7B,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0x5cd313f6defd02dA3ceb91845bFa492FF8bD8817,​0x08bbedE306cC6ad3C6A15a496625CCaD9e4201E9,​0xBCa7a1E8Fe84b826b138680594e27886989be0D5,​0x0F9043943a4d8f25d3b09EaDe2e2bc6A6cD40351,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0x4343693919cc2F27C909E0BcA0DE02d6E91017ca,​0xFB2f080bcfB10eD3117A3B23653BF23fc3CAEc71,​0x30602250c5f1fcbA5407E99B1DFaAB992EA4fFD2,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0x3eC44A823E07555B5f889d8d954eec736eb5865b,​0xaA679E4Ee126f49C4c7E06BFfaE0f64562e74deb,​0x6cd5B7AbA1e610755EA101ae6197F97D4D24BB63,​0x09b8dFA0a41B0997caa182F0A09B9675e054e003,​0xA44b871CDa434213F7Dc3f7f064cA47CE58Fe80C,​0x10017ca37B1257Ac0771e24652aa28c758e378Eb,Other
1578989540000,0.01,0.01,,,0.00,,,,,,,0.03,,,,,,0.01,,,,,,,,,,0.24,0.03,,,,0.02,,,,0.00
1579055596000,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,0.01,,,,,,,,,0.02,0.03,
1579122050000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,0.03,,,,,
1579188604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
1579320115000,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
1579783170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
1580579921000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
1580711822000,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580910496000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1581310184000,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.00
1581641265000,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581707956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1581774043000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,
1581907086000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1582106715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1582372667000,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
1582571821000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,
1583368317000,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583435384000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,
1585306138000,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
1586966921000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,
1587167698000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,
1589375621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1592460543000,,,,,,,,,,,,,,0.10,,,,,,,,,0.01,,,,,,,,,,,,,,
1592594022000,,,0.20,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592661070000,,,,,,0.05,0.02,,,0.45,,,,,,0.02,,,,,,,,,,,,,,,,,,0.02,,,
1592727831000,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
