timestamp,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0xab72706e9B365137306Ab338Aa1ba6FB04b31981,​0x91a379dD14757514aFc4490277Acb819fc6D11Fc,​0x61c3E39752f67da47F55DEb02f529aa74Afe82B5,​0x32ae490731f361Bfa4463e0d3e2f56b5ecBc3Cc7,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0xc7b333Dd05577C5242d2cb7535dD413e534DD327,​0x00000000000080C886232E9b7EBBFb942B5987AA,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0xC8ecA93df335F17CA34bBf5d66407230c45332c6,​0x7A0839f5Cc05aBeD394DAf1b4A28787a9634c6F8,Other
1582372667000,,,,,,0.01,,,,,,,,
1583235956000,,,,,,,,,,0.02,,,,
1584100621000,,,,0.03,,,,,,0.55,,,,
1584168330000,,0.05,,,,,,,,0.89,,,,
1584234522000,,,,,,,,,,0.10,,,,
1584300469000,,,,,,,,,,0.05,,,,
1584699859000,,0.02,,,,,,,,,,,,
1588771981000,,,,,,,0.04,,,,,,,
1589174391000,,,,,,,,,,,0.09,,,
1589509055000,,,,,,,,,,,0.08,,,
1590181994000,,,,,,,0.20,,,,,,,
1590248502000,,,,,,,0.10,,,,,,,
1592661070000,,,,,,,0.15,,,,,,,
1593062546000,,,,,,,0.20,,,,,,,
1593128647000,,,0.04,,,,0.44,,,,,,,
1594734577000,,,,,,,0.09,,,,,,,
1595939151000,,,,,,,,0.10,,,,,,
1597340255000,,,,,,,,,,,,0.95,,
1597472334000,0.04,,,,,,,,,,,,,
1598271030000,,,0.47,,,,,,,,,,0.19,
1600589122000,,,,,0.01,,,,,,,,,
1603661160000,,,,,,,,,,,,0.67,,
1611023041000,,,,,,,,,0.40,,,,,
