timestamp,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x380FDc8bB8722915076a09479d1bbC75e69c8Be0,​0xcaA7e4656f6A2B59f5f99c745F91AB26D1210DCe,​0x48B04d2A05B6B604d8d5223Fd1984f191DED51af,​0x313638C16B16183BE9AE577A0fab9Fc5b5f60f69,​0x04E264A8eE30EC8298BfEda1A6Bf3B78053115F4,​0x2F07cE39C53Decae179ba5E797CE98f78e7332FC,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x97402249515994Cc0D22092D3375033Ad0ea438A,Other
1583502285000,,,,,,,,,,,,,0.03,,
1583567810000,,,,,,,,,,,,,0.02,,
1583633541000,,,,,,,0.12,,,,,,0.11,,
1583699841000,,0.25,,,0.15,,,,0.01,,,,0.65,,
1583767163000,,0.11,,,,,,,,0.26,,,0.73,,0.00
1583966404000,,,,,,,,,,,,,0.11,,
1584100621000,,,0.18,,,,,,,,,,,,
1584699859000,,,,,,,,,,,,,,0.01,
1585571105000,,,,,,,,,,,,,,,0.00
1585704243000,0.02,,,,,,,,,,,,0.03,,
1586236183000,,,,,,,,0.01,,,,,,,
1586301955000,,,,,0.06,,,,,0.06,,,,,
1586635021000,,,,,,0.12,,,,0.09,0.03,,,,
1586900049000,,,,,,,,,,0.08,,0.33,,1.17,
1586966921000,,,0.02,0.02,,,,,,,0.02,,,,0.00
