timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xA901368aec255B1e6DF31edf8Aa735fF16Bb12a8,​0x66ec82188AA02B7047420537888E1FA8e58Bd070,​0xa3a3C6df9fE3e22e9EF4Df63Bb1151EF47E2Cf54,​0x20A02cEDA0C85b8e8AA9B7105d0673181be594a1,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xA00c99F5f955552742F1089deD88ABDC74E67Bac,​0x97deC872013f6B5fB443861090ad931542878126,​0x88Ed4Ce34fC3f54A24768A5aCd08d59aE860E079,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x35Db75fc0D5457eAb9C21AFb5857716427F8129D,​0x36DA71103A48006879207C879e6c9eF0B006Cc9E,Other
1575519604000,,,,,,0.03,,0.01,,,,0.03,
1575596839000,,,,,,0.03,0.00,,,,,,0.01
1575979374000,,,,0.04,,,,,,,,,
1576056123000,,0.14,,,,,,,,,,,
1576132843000,,,,,,0.07,,,,,,0.07,
1576288118000,,0.68,,,,,,,,,,,
1576372313000,,0.74,,,,,,,,,,,
1576456679000,,0.10,,,,,,,,,,,
1576541361000,,,,,,0.76,0.59,,,,,,
1576627001000,,,,,,0.30,,,,,,,
1576713534000,,0.45,,,,0.90,0.15,,,,,,
1576886273000,,,,,0.05,,,,,,,,
1576971438000,,0.44,,,,,,,,0.58,,,0.00
1577057861000,,0.27,,,,,,,0.27,0.48,,,
1577143907000,,1.03,,,,,,,,0.77,,,
1577229621000,,0.27,,,,,,,,0.61,,,
1577832303000,,,,,,0.04,,,,,,,
1577918935000,,,0.02,,,,,,,,,,
1578261907000,,,,,,,,,,,,,0.00
1578393679000,0.23,,,,,,0.29,,,,,,
1578526345000,0.00,,,,,,,,,,,,0.01
1578658814000,0.62,,,,,,,,,,,0.75,
1578857025000,,,,,,,,0.01,,,,,
1578989540000,,,,,,,,,,,,,0.01
1579055596000,,,,,,,0.26,,,,,,
1579122050000,,,,,,,,0.01,,,,,0.00
1579188604000,,,,,,,,,,,,,0.00
1579320115000,,,,,,,,,,,,,0.00
1579453251000,,,,,,,0.07,,,,,,
1581574720000,,,,,,,,,,,0.01,,0.00
1581841298000,,0.02,,,,,,,,,,,
1582306851000,,,,,,,,,,,,,0.01
