timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,Other
1604059142000,,3.17,,
1604125251000,0.75,5.45,,
1604191395000,,2.58,,
1604257692000,,2.34,,
1604324653000,,5.17,,
1604390633000,,4.50,,
1604457123000,,1.25,,
1604523521000,,3.88,0.29,
1604589935000,0.77,3.82,,
1604655075000,1.42,1.82,0.19,
1604721624000,,0.75,,
1604788406000,0.07,0.41,0.15,
