timestamp,​0xE04749D286f4190aEFA28F5c607cdC4d08EaC0a0,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x6040899959a8861e93238265376B27072416596D,​0x7F9461F51a2c16aD93aDd9Fd97251Ee02aD5A6de,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0xCaB151544Aa6f7eE37831b4611D25e38e2e0a59d,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x3336eD787919678c3d49124dca8a3F581891C19D,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0x706C67929b834370cf6131275030da72B7fE19f2,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x27737A4E8A7f4Ecba3c92fd4fAC9e9cdDAb58bb2,​0x71232EAd3BeC1AC03eCfE2556acd6c7D0bD349C7,​0x05e15f2B6e3BF8eF76d80F0398eB511c9C76f052,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0xD1a1824902B6698eE1ACA84d83f22b6d779355f2,​0x762ed657B76372F8C08C6f7E0Aa4170658C4CA35,​0x6AE23C5EDaad107026a3Dabb74396e1ff4D5695d,​0x95C3F3f5F805E604462dfD51FBea5330f5963B35,​0xF93eD4Fe97eB8A2508D03222a28E332F1C89B0eD,​0xA538311df7DC52bBE861F6e3EfDD749730503Cae,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,Other
1590383553000,,0.51,,,,,,,,0.16,,,1.75,,0.10,,,,,,,,,,
1590517845000,,0.69,,,,,,,0.04,0.14,,,,0.05,,,,,,,,,,,
1590652494000,,,,,,0.14,,,,0.39,,,,,,,,,,,,,,,
1590719602000,,,,,,0.20,,,,0.18,,,0.32,,,,,,,,,,,,
1590786531000,,,,,,,,,,0.08,,,,,,,,,,,,,,,
1590853669000,,0.54,,0.04,,,,,,0.21,,,,,,,,,,0.14,,,0.29,,
1590919824000,,,,,,0.16,,,,,,,,,,,,,,,0.03,,,,
1590987649000,,,,,,,,,,0.12,,,,,,,,0.16,,,,0.09,,,0.00
1591122115000,,,,,,,,,,0.15,,,,,,,,,,,,,,,
1592126059000,,,,,,,,,,,0.25,,,,,,,,,,,,,,
1592259061000,,,,,,,,,,0.09,,,,,,,,,,,,,,,
1592460543000,,0.39,,,,,,,,,,,,,,,,,,,,,,,
1594067228000,,,,,,,,,,0.13,,,,,,,0.28,,,,,,,,
1594133831000,,,,,,,,,,,0.22,0.03,,,,,,,,,,,,,
1594199176000,0.48,,,,,,,0.27,,0.12,1.36,,0.57,,,,0.50,,,,,,,,
1594266589000,,,0.26,,0.24,,0.17,0.32,,0.38,0.39,,,,,0.39,,,0.37,,,,,,
1594334149000,,,,,,,,,,0.47,0.14,,0.18,,,,0.33,,0.46,,,,,,
1594400599000,,,,,,,,,,0.10,,,,,,,,,,,,,,0.02,
1594467342000,,,,,,,,0.22,,,,,,,,,,,,,,,,,
1594534363000,,,0.01,,,,,,,,0.15,,,,,,,,,,,,,,
1594600559000,,,,,,,,,,,0.25,,,,,,,,0.15,,,,,,
1594801444000,,,,,,,0.00,,,,,,,,,,,,,,,,,0.01,
1595068938000,,,,,,,,0.40,,,,,,,,,1.39,,,,,,,,
