timestamp,​0x00812076E9460d60E7F9af956cBDA17Ac64eEAA2,​0x34C3A5ea06a3A67229fb21a7043243B0eB3e853f,​0xbB16e73d20A25BBfB300EFe7D2FfAD54a171f075,Other
1579254375000,0.15,0.33,1.26,
1580114658000,,0.34,,
