timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xF84750AE307d6692daF2C9819dc8b2016f2889A3,​0x97deC872013f6B5fB443861090ad931542878126,​0x4e71E47252d515B2841811687770D083B2beB261,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1595604570000,,,,,2.69,
1595672114000,,,,,0.10,
1595872747000,,,,,0.63,
1595939151000,,,,,0.32,
1596006108000,,,,,3.73,
1596072129000,,,,,0.10,
1596140024000,,,,,0.71,
1596207016000,,,,,3.66,
1596273444000,,,,,0.44,
1596339947000,,,,,1.59,
1596406368000,,,1.30,,0.66,
1596540683000,0.67,,0.07,,2.50,
1596674074000,,,0.62,,0.23,
1596740019000,,0.15,,,1.51,
1596807570000,,,,,2.26,
1596874169000,,,,,0.63,
1596940389000,,,,0.04,0.08,
1597006979000,,,,,0.79,
1597073639000,,,,,0.74,
1597406581000,,,,,0.04,
1597539439000,,,,,0.45,
1597606146000,,,,,0.12,
1597939059000,,,,,0.99,
1598005285000,,,,,1.16,
