timestamp,​0xEBE048aA880cCf8f76FE88344D8425f574E1B9a6,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x22F9dCF4647084d6C31b2765F6910cd85C178C18,​0xc7b333Dd05577C5242d2cb7535dD413e534DD327,​0x87FeF5a1920733d1C457d45b91dEC5026514063A,Other
1567860872000,,,,,,0.00
1581508790000,,,,,,0.00
1582705647000,,,,,,0.00
1590451139000,,,,,,0.00
1591457899000,,,,,,0.00
1595872747000,,,,,,0.00
1598734918000,,,,,,0.00
1600852525000,,,,,,0.00
1602337276000,,,,,,0.00
1602469107000,,,,,,0.00
1602535471000,,,,,,0.00
1602601229000,,,,,,0.00
1602931980000,,,,,,0.00
1603130753000,,,,,,0.00
1603263141000,,,0.14,,0.14,
1604589935000,,,1.20,,,
1604655075000,,,0.00,,,
1604788406000,,,0.05,,,
1604855096000,,,0.18,,,
1605385703000,,,2.00,,,
1605849265000,,,0.07,,,0.00
1606048118000,0.01,,2.40,0.00,,
1606181350000,,,0.00,0.00,,
1606247275000,,1.61,0.00,1.62,,
1606314098000,,,0.02,0.02,,
1606446290000,,,,,,0.00
1606644580000,,,0.00,,,
1606711814000,,,0.00,0.00,,
