timestamp,​0x4a7C6899cdcB379e284fBFD045462e751DA4C7cE,​0xd5B3988eD0AB5ec375E51bB6fd10e205cEC16A2E,​0xb9bc87e399E371100F83ffC51ED44c13DAF576cE,​0x4F50d47D20380172746527bbeAa274940C38EFAC,​0x97deC872013f6B5fB443861090ad931542878126,​0xBe10EAA921719C3ab6300479E16E08f32354E90a,​0xD3e9D60e4E4De615124D5239219F32946d10151D,​0x42D0239c1a20E66bd92735189e5CdD92F64E8b7A,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x544a9971851450C6170C6683df09B74efeB6AAd1,​0x2551727Bb6EEb4e5917e616dFFC3923402fE1bc3,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0xCe2b8fDfbfe3677a994cFbbe7924A748345FDEF1,​0x00a2Ddfa736214563CEa9AEf5100f2e90c402918,​0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,​0x7e461d582a6286Ec922B5863453D8C19c2aAFE8e,​0xba740c9035fF3c24A69e0df231149c9cd12BAe07,Other
1564905518000,,,,0.06,,,,,,,,,,,,,0.06,,0.01
1564972688000,,,0.18,0.14,,,,,,,0.40,,,,,,,,
1565039690000,,,,,,0.16,,,,,,,,,,,,,0.02
1565241308000,0.09,,,,,,,,,,,,,,,,,,
1573670409000,,,,,,,,,,,,,,,,,,,0.01
1576288118000,,,,,,,,,0.99,,,,,,,,,,
1576372313000,,,,,,,,,0.81,,,,,,,,,,
1577659927000,0.47,,,,,,,,,,,,,,,,,,
1578923015000,,,,,,,,,,,,,,,,,,0.47,
1579320115000,,,,,,,,,,,,,,,,,,,0.00
1581243665000,,,,,,,,,,,,,,,,,,,0.01
1581508790000,,,,,,,,,,,,,,,,,,,0.00
1581841298000,,,,,,,,,,,,,,,,,,,0.00
1582040665000,,,,,,,,,,,,,,,,,,,0.00
1582240159000,,,,,,,,,,0.04,,,,,2.00,,,,
1582372667000,,1.02,,,,,,,,,,,,,,,,,
1583036689000,,,,,,,,0.49,,,,,,,0.51,,,,
1583435384000,,,,,,,,0.10,,,,,,0.72,,,,,
1585306138000,,,,,2.97,,,,,0.05,,,3.13,,,,,,
1586568529000,,,,,,,0.96,,,,,,,,,,,,
1586635021000,,,,,,,1.00,,,0.05,,3.00,,,,1.39,,,
1587033174000,,,,,,,0.60,,,,,,,,,,,,
1587368133000,,,1.83,,,,,,,,,,,,,,,,
