timestamp,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x433a2f5bf9d1d4c31356e8a0C95065ae0D499839,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x8236f1620168c4EC2953b444099010C3a38Bf01A,Other
1580645575000,,,0.03,0.00,,,
1580910496000,,,,,,0.02,
1581043789000,,,0.13,,,0.02,
1581110121000,,0.05,,,0.25,,
1581310184000,,,0.05,,,,
1581441429000,,,0.10,,,,
1581574720000,,,0.04,,,,0.00
1581641265000,,,0.05,,,,
1581774043000,,,0.14,,,,
1581973926000,,,0.04,,,,
1582106715000,,,,,0.03,,
1582306851000,,,,,0.02,,
1582439543000,,,0.02,,,,
1583368317000,,,,0.03,,,
1583699841000,,,,,0.04,,
1583900197000,0.01,,0.03,,,,
1584033400000,,,0.03,,,,
1584168330000,,,0.06,,,,
