timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x97deC872013f6B5fB443861090ad931542878126,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0x7292b247765f3d2C11AF5328E95d9133321Af679,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0xcDDa4d2e1059FAE930b80bdC4088b70416efDD89,​0x145E0b7Db8D9a2CBa291d656B34802fAb7BF2DbE,​0xE929bCd423ccdCe094ed5a4F2AB092070655f0e2,​0xf8fFF4959B9cDEaEB0FF03199D7e51cB438e92C6,Other
1593195376000,,,2.20,,0.21,4.41,0.28,,,,,
1593262962000,,,1.24,,,1.72,0.37,,,,0.91,
1593330837000,0.05,,2.22,,,14.63,,,,,2.80,
1593396882000,,,,,,3.93,,1.77,,,,
1593464751000,,,,,,5.16,,,,,,
1593531858000,,,,,,1.48,,,,,,
1593666201000,0.61,,,,,4.09,,,,,2.11,
1593732971000,,,0.73,,,1.88,,,,,1.05,
1593800162000,,,,,,8.76,,,0.90,,,
1593866326000,,,,,,16.30,,,,,,
1593933211000,,,,,,2.33,,,,0.16,,
1594000010000,,0.65,0.82,,,1.98,,,0.55,,,
1594067228000,0.59,0.20,,,,3.22,,,0.45,,,
1594133831000,,,,,,0.66,,,,,,
1594199176000,,,,,,0.54,,,,,,
1594266589000,,,,0.10,,1.09,,,,,,
1594334149000,,0.26,,,,0.31,,,,,,
