timestamp,​0x72d50aC6627eAc2E6B69D38eaDd8EEe80d21653c,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x280A8675cF1d930c638F4f9Eb9dbe75823801D5a,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1587701744000,,,,,,0.30,
1587768625000,,,,0.33,,2.62,
1587836062000,,,0.10,0.35,0.02,1.57,
1587902337000,,0.52,0.20,,0.06,1.06,
1587969951000,,0.30,,1.96,,4.22,
1588036978000,0.04,,,,,0.21,
