timestamp,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,​0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1594400599000,2.29,,,5.15,,0.17,
1594467342000,,,,0.08,,,
1594534363000,,,,0.03,,,
1594600559000,,,,1.30,,,
1594667176000,,,,0.26,,,
1594734577000,,,,3.32,0.33,,
1594801444000,0.44,,,1.76,,,
1594868516000,1.53,,,2.01,,,
1594935634000,0.39,,,0.49,,0.86,
1595002354000,,,,1.58,1.28,,
1595068938000,,,,1.29,0.28,,
1595135940000,,0.31,,0.33,,,
1595202619000,,,,0.63,,,
1595270294000,0.21,,,0.93,,,
1595338300000,0.24,,0.86,0.62,,,
