timestamp,​0xcC4Dc8e92A6E30b6F5F6E65156b121D9f83Ca18F,​0xEe25a890B9363f60421bC0Fa63D119Ef5C913B59,​0xC06768Cc873C0219c1e8efF6A339C1a9f45F84Dc,​0x99391C6F4d33DdaC56E0856Db4eF0013851031bD,​0x692603675b46fa65061853DB373057208f476815,​0x1C0Aa8cCD568d90d61659F060D1bFb1e6f855A20,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,Other
1573958177000,,,0.20,,,,,
1574753753000,,0.40,,,,,,
1574829912000,0.39,,0.40,,,,0.01,
1575366165000,0.49,,,,,,,
1575442393000,,,,,0.20,,,
1575673602000,,,0.40,,,0.03,0.01,
1579320115000,,,,,,,,0.00
1581574720000,,,,,,,,0.00
1591457899000,,,,,,,,0.00
1594067228000,,,,0.10,,,,
1594334149000,,,,0.10,,,,
