timestamp,​0xeF5e089fB126AA0207Dbc6ae619C9E51Eb3bAAfc,​0xBc856f539ef84944C75D1E1383e2113b90b00595,​0xB5B869BB47d2868cC81384bEa5461F8D05930d16,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x8ec2658D0e09F8f52e4f541F8ae5686472622054,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x34A2fCE349311114317353ab4B798fa11cCfef57,Other
1582837876000,,,,,,,,0.00
1582970808000,,,,0.34,,1.06,,
1583633541000,,0.01,,,,,,
1583767163000,0.44,,,0.31,,,,
1584234522000,,,0.35,0.16,,,,
1584300469000,,,,,,,0.11,
1585438491000,,,,0.14,,,,
1585637238000,,,,,0.11,,,
