timestamp,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x0AC545310921E4885Dc4cf5F758D7C49e8974482,Other
1598668615000,,,0.18,,,
1598801522000,,,0.47,,,
1598867833000,,,0.34,,,
1598932763000,,,0.04,,,
1599065306000,,,0.69,,,
1599131830000,,,0.94,,,
1599197725000,,,2.60,,,
1599263811000,,0.47,7.85,0.83,,
1599330041000,1.39,2.29,5.94,1.38,,
1599395453000,,,11.18,0.53,,
1599461746000,,,1.54,,,
1599528172000,,,4.39,0.54,,
1599594452000,,0.43,6.47,0.16,0.99,
1599661253000,,,2.82,,,
1599727959000,,,5.33,,,
