timestamp,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x248535910a53B798eD5961396A1B007275728319,​0x97deC872013f6B5fB443861090ad931542878126,​0x00684f046F379fe5d2B77D837ED51f5686807421,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xeb2cc32F4b1D8e498619be6960030FdfFb1e7C47,​0x0fAe3DAE72219E15a5330f4184832564C19378AA,​0x4bdFad117A88c780f3Cdd4622B35fe7F77906192,​0x533D94255aDABE5F9AC7d6755ebCe1e93a00AfC7,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x862529dBe6D3879A4329BD77485cC17C6dE3f5e6,​0x02Ab1B3A8ac8E1Aa17756058E67ef68be0508a2d,​0xf4E6B6152A5137DaA5cDa324F3c2599bFd48F5Fb,​0xFcd12c9D27560a122048a43315B54872bCD59603,​0x1297Ad486549A430d59D9d5f99eD7C216b6e77DD,​0x505846a0a89dd26fA5cD0677FD5406039c218620,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,Other
1590719602000,,,,,,,,,,,,,,,,,,0.79,,
1590786531000,2.01,,,0.46,,1.86,0.35,,,,,,,2.63,,,1.08,10.21,,
1590853669000,,,0.64,,,,,,0.57,,0.59,,,4.62,,,0.59,7.56,,
1590919824000,,,,,,0.22,,,,,,,,1.65,,,0.47,4.42,,
1590987649000,,,,,,,,,,,0.13,,,1.72,,,1.15,7.73,,
1591054955000,0.92,,0.11,,,,,,,,,,,1.05,,,,1.10,,0.00
1591122115000,,,0.45,,,,,,,,,,,1.00,,1.33,,4.38,,
1591189759000,,,,,,,,,,,,,,1.91,,,,1.75,,
1591256276000,,,,,,0.92,,,,,,,,,,,,2.64,,
1591323776000,,,,,,,,,,,,,,,,,,1.77,,
1591389945000,,,0.29,,,,,,,,,,,0.28,,,,2.64,,
1591457899000,,,,,,,,,,,,,0.35,0.08,,,,0.82,,
1591524138000,,,,,,,,,,,,,,0.08,,,,0.08,,
1591590964000,,,,,,,,,,,0.21,,,,,,,0.68,,
1591658478000,0.20,,,,,,,,,,,,,,,,,0.23,,
1591725334000,0.09,,,,,,,0.14,,,0.55,,,,,,,0.43,,0.00
1591793059000,,,0.01,,,,,,,,,,,0.61,,,,0.42,,
1591859571000,,,,,,0.25,,,,,,,,,,,,0.87,,
1591926628000,,0.19,,,0.40,,,,,0.20,0.65,0.55,,0.03,0.20,,,1.14,0.29,
1591993124000,,,,0.02,,,,,,,,0.40,,0.12,,,,0.71,,
