timestamp,​0x7a43Ce3ef79AD8B7aDF23F4c1bDD0446fD7E4d76,​0x945c965123968E6FBdcb0a344649BEA3fA02970f,​0x932348DF588923bA3F1Fd50593B22C4e2A287919,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xc4b258A1f6774bbd42667ea2969cB4175CA1fCd6,​0x87d80DBD37E551F58680B4217b23aF6a752DA83F,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xF677aAd1C6B3Eb0143aB5CE2fF368BC6B208184c,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xA540fb50288cc31639305B1675c70763C334953b,​0x97deC872013f6B5fB443861090ad931542878126,Other
1571036079000,,,0.26,,,,,,,,,,
1571171084000,,,,,,,,,,,0.05,,
1572060724000,,,,,,,,,,0.01,,,
1572337649000,,,,,,,,,,,0.00,,
1572684939000,,,,,,,,,,0.07,,,
1573814675000,,,,,,,,,,,,,0.00
1576208669000,,,,,,,,,0.12,,,,
1576799699000,,,,,0.11,,,,,,,,
1576886273000,,,,,0.14,,,,0.21,,,,
1578129566000,,,,,0.02,,,,,,,,
1579584998000,,,,,,0.18,,,,,,,
1579783170000,,,,,,,0.13,,,,,,
1581641265000,,,,,0.15,,,,,,,,
1581707956000,0.04,0.08,,,,,,,,,,,
1581841298000,,,,,,,,0.03,,,,,
1581973926000,,0.08,,,0.08,,,,,,,,
1582173039000,,,,,0.03,,,,,,,,
1582970808000,,,,,,,,,,,,0.09,
1584434720000,,,,0.04,,,,,,,,,
1584566455000,,,,0.05,,,,,,,,,
