timestamp,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2Bf5A5bA29E60682fC56B2Fcf9cE07Bef4F6196f,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0xE0aBA8291C1A83B2310d2D3036eA64f907CC7eA3,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x1aEC8F11A7E78dC22477e91Ed924Fab46e3A88Fd,​0x168aA9692DFA9a33da9d27fec99df3E7E29D8a8B,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x9697E724610505474936ec1382Edceb5AA52F295,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0xEdC485266AA0Ebe9CCbfc1f255BB5FFEA1f9e3cc,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0x97deC872013f6B5fB443861090ad931542878126,​0x772990840BE9fFfca9e2e6a2A05b73a238E166C7,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xfAC4E68a7781d6461FCd3Dfa53521C048E624a23,​0xC0D6D359b05C60451b02fc87be3F5d808fa89692,Other
1558099488000,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
1558776750000,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.07
1558977860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1559653274000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1560734814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1561275287000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1561814305000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1562015969000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1562082973000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1562620679000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1562687655000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1563295219000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1563362708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1564033316000,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
1564637313000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1564705696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1564972688000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1565776959000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1566044959000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01
1568871705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1570156245000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1570560314000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1571103316000,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,
1571171084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1573311556000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1574677937000,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,0.31
1576799699000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578658814000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1579386588000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.00
1579650516000,,0.02,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1579717286000,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,
1579783170000,,0.00,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1580049245000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1580180893000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1580711822000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1580778615000,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,
1580844182000,,0.03,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1580977343000,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.00
1581043789000,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1581177428000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1581243665000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.64
1581310184000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1581641265000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,
1581707956000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581973926000,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582040665000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582240159000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1582439543000,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582505376000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
