timestamp,​0x9393fF32313900A9f67A02E2FC0AA5DF9e0559a3,​0x72926BBe1f3a98684dAF7847fF29d824b4BeF666,​0x5A33DA8b184f9d30D5eeA1379D0700648A65c296,​0xF3aaDDFE9854dE7D568c63Fc48eCff685dB184Dc,​0x7e61a9EaA54f15C661E117c21151C399F665806B,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xa59cC1618D144ccAC2bfb46F61272CEbf00D90d5,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xa95718f1445D3f5e97d7bb502598887F7fBbeB73,​0x7420fA58bA44E1141d5E9ADB6903BE549f7cE0b5,​0x229779eFD1896e1A4bDC0Acf5CE1DE11C940d102,​0x97deC872013f6B5fB443861090ad931542878126,​0x8A538867235252bE6784BCf8d46050506Ff6071A,​0x52a514459e733110dFA8595fD8D23938E5690aB8,​0x65cDFa63A23e53Adbe31096d40c3aA33D195B6A2,​0x0f039637fbD4FaB502E33Fa6f6B7e62c52b94031,​0x13BE706eC89CEd5955dedC732D9d334514D5F063,​0xC39778199Ab49F11Cc952cEe089c270b10F37664,​0xC4c4A6DB3A80efD6E771b017378987e508027544,​0xbeF9BB8C3D0F7A05A034d5bF96c48eEaFc941A12,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,Other
1583900197000,,,,,,,,,,,,,,,,,,0.25,,,,
1584367227000,,,,,,,,0.42,,,,,,,,,,,,,,
1584434720000,,,,,,,,,,,,,,,,,,,,,,0.04
1584632903000,,,,,,,,,,,,,,,,,,,,,,0.17
1584699859000,,,,,,0.13,,2.23,,,,,,,,,,,,,,
1584766483000,,,,,,,,,,,,,,1.51,,,,,,,,
1584902413000,,,,,,,,,,,,,,,,,,,,,,0.00
1584970249000,,,,,,,,,,,,,,0.81,,,,1.40,,,,0.00
1585036977000,,,,0.78,,0.18,,,,,,,,,,1.42,,,,,,0.00
1585105600000,,,,,,,,,,,,,,,,1.41,,,,,,
1585173391000,,,,,,,,,,,,,,,,,,,,,,0.00
1585239172000,,,,,,,,,,,,,,0.73,,0.75,,,,,,
1585306138000,,,,,,,,,,,,,,1.41,,,,,,,,0.00
1585372283000,,,,,,,,,,,,,,1.45,,,,,,,,0.01
1585438491000,,,,,,,,,,,,,,,,,,,,,,0.01
1585571105000,,,,,,,,,,,,,,0.99,,,,,,,,0.00
1585770840000,,,,,,0.23,,,,,,,,2.52,,,,,,,,
1585903293000,,,,,,,,,,,,,,1.00,,1.00,,,,0.03,,
1586169028000,,,,,,,,,,1.12,,,,,,,,,,,,
1586236183000,,,,,,0.26,,,0.80,2.69,,,,1.09,,,,0.12,,,,
1586301955000,,,,,,,,,,,,,,1.18,,,,,,0.92,,
1586368858000,,,,,,,,,,0.28,,,,1.45,,,,,,0.28,,
1586434964000,,,,,,,,,,0.69,,,,,,,,,,,,
1586501245000,,,,,,,,,,0.35,,,,,,1.00,,,,,,
1586568529000,,,,,,,,,,,,,,,,1.55,,,,,,
1586635021000,,,,,,,,,,0.65,,,,,,,,,,,,
1586701369000,,,,,,,,,,1.20,,,,,,,,,,,,
1586767741000,,,,,,,,,,0.65,,,,0.31,,,,,,,,
1586833705000,,,,,,,,,,0.64,,,,,,,,,,,,
1587300847000,,,,,,,,,,,,,,,,,,,,0.80,,
1587368133000,,,,,,,,,,,,,,,,,,,,2.48,,
1587434258000,4.29,,,,,0.36,,,,,,,,,,,,,,,,
1587568237000,1.35,,,,,,,,,,,,,,,,,,,,,
1587634602000,5.19,,,,,0.85,,,0.12,,,,2.90,,,,,,,,,
1587701744000,1.25,,,,,,,,,,,,,,,,,,,,,
1587768625000,1.25,,,,,,,,,,,,,,,,,,,,,
1587836062000,2.63,,,,,,,,,,,,,,,,,,,,,
1587902337000,2.70,,,,,,,,,,,,,,,0.30,,,,,1.19,
1587969951000,0.10,,,,,,,,,,,,,,,,,,,,,
1588036978000,2.38,,,,,,,,,,,,,,,,,,,,,
1588104246000,0.38,,,,0.45,5.55,,,,,,,,29.37,,,,,,,,
1588170340000,1.19,0.90,,,,0.64,0.34,,,,,1.29,,5.66,,,,,,,,0.04
1588237076000,0.15,,,,1.50,0.69,,,,,,,,,,,,,,3.62,0.04,
1588305064000,5.45,,,,,0.71,,,,,,,,,,,,,,1.68,,
1588371539000,0.12,,,,,0.77,,,,,0.73,,,,,,,,,8.67,,
1588438821000,0.12,,,,,,,,,,,,,,,,,,,,,
1588506516000,2.73,,,,,0.78,,,,,,,,,,,,,,,,
1588572377000,0.85,,,,,,,,,,,,,,,,,,,0.15,,
1588638430000,0.01,,,,,,,,,,,,,,,,,,,0.01,,
1588705743000,0.03,,,,,,,,,,,,,,,,,,1.50,6.00,,
1588771981000,6.50,,,,,1.61,,,,,,,,3.50,0.74,,,,,0.05,,
1588839881000,0.50,,4.28,,,0.82,,,,,,,,8.25,0.76,,4.50,,,0.00,,
1588906152000,,,,,,,,,,,,,,0.00,,,0.18,,,,,
1588972800000,,,,,,,,,,,,,,0.01,,,0.01,,,,,
1589040204000,,,,,,,,,,0.90,,,,0.05,,,0.25,,,,,
1589107927000,,,,,,,,,,0.01,,,,,,,0.70,,,,,
1589174391000,,,,,,0.89,,,,0.06,,,,,,,2.56,,,,,
1589241093000,,,,,,,,,,0.01,,,,,,,0.01,,,,,
1589308656000,,,,,,,,,,0.01,,,,,,,0.05,,,,,
1589375621000,,,,,,,,,,2.11,,,,0.01,,,,,,,,
1589442351000,,,,,,0.92,,,,9.90,,,,0.04,,,7.00,,,,,
