timestamp,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x0AE62cCDb17f4f8C1eec2c823400E2AC8EdB9Acb,​0x97deC872013f6B5fB443861090ad931542878126,Other
1607109266000,,4.04,,0.20,
1607176193000,,2.76,0.20,0.52,
1607242529000,,0.55,,,
1607309267000,,0.33,,,
1607375492000,,0.56,,,
1607441996000,0.28,0.90,,0.15,
1607508150000,0.53,0.70,,,
1607573702000,,0.53,,,
1607708371000,,0.95,,,
1607774843000,,0.21,,,
