timestamp,​0xf36A8fD3831C0f49cF6Ad00BA74B30CED493406b,​0xd0A8b9B78eEB93f932a4dCc9b9bcdC83A9255B31,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x7E9A6b14e78BF18bD483D208af423b96AB5075A4,​0xc37Dda507f277e8A9CD5C9C609ebe9EA8E706C4F,​0xA00c99F5f955552742F1089deD88ABDC74E67Bac,​0x9476a0089601B4e17005880FcdF05099E4284c84,Other
1608835449000,,,,1.86,,,,,
1608902154000,,,,7.62,,,,,
1608968406000,,,0.66,2.20,,0.50,,,0.04
1609034138000,,,,1.51,,,,,0.01
1609100774000,,,0.81,5.54,,,,,
1609165810000,,,0.10,13.35,0.95,0.50,,,0.02
1609232681000,,,4.24,6.64,,,,,0.13
1609300140000,,,,6.22,,,,,
1609365524000,,,0.00,8.48,,,,,
1609431762000,,,2.65,17.26,,1.20,2.70,,
1609498801000,,2.22,1.13,15.74,,,,,0.01
1609563999000,,1.49,,5.74,,,,,
1609630001000,,0.19,0.56,7.81,,,,,
1609696530000,,0.22,0.05,4.22,,,,,
1609763514000,,1.10,1.01,0.02,,,,,
1609829565000,,2.39,,0.14,,0.71,,,
1609895571000,,4.04,1.42,12.17,,,,,
1609961853000,,,0.83,7.35,,,,,
1610028326000,,,,0.50,,,,,
1610095037000,,0.75,0.30,1.39,,0.73,,,
1610160525000,,0.60,1.64,2.08,,,,,
1610227531000,,0.69,1.64,0.97,,,,,
1610293257000,,,,2.57,,,,,
1610360087000,,,,0.31,,,,,
1610426201000,,1.63,,0.57,,,,,
1610491795000,,,0.03,2.65,,,,0.74,
1610558675000,,,0.84,1.21,,,,0.79,
1610624387000,,,,5.30,,,,,
1610691633000,2.56,1.60,,4.62,,,,,
1610756963000,,1.00,,3.32,,,,1.03,
1610823692000,,,,1.52,,,,1.28,
1610890333000,,3.06,0.48,9.57,,,,2.79,
1610956120000,,,0.56,4.50,,,,,
1611023041000,,,,2.86,,,,,
1611089195000,,,,1.29,,,,,
