timestamp,​0xF12446137a3b6e1CAE093686aa00293990457357,​0x218e365E969D36B20EfD279EBC90B8E10fDd459B,​0x418cf9E24C8E74e0155c9c7F6DA8a10B0CA799Cd,​0x75826e3b40e1DCD31Cd944edd90D876c2fbe1E2B,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xaa2170569178C96f58C299d6533E05C9aCD72353,​0x9c10303229079e387DDd6621502A44B038DF79e9,​0xbb901aa06D3D366Fb691BC61F56019441033e42a,​0xc817850f4bEA79C8557A23bcA7A35e32F5Cd1A55,​0xe25a8D30412711964A36C647d5F0fa55F610F122,​0xe09B07BA69113861AAAecf1e5332Fa105F85682f,Other
1572822749000,,,0.01,,,,,,,,,
1575442393000,,,,,,,0.01,,,,,
1576713534000,,,,,,,,,0.06,,,
1577746179000,,,,,,,0.32,,,,,
1577832303000,,,,,,,0.23,,,,,
1578261907000,,,,,,,,,0.01,,,
1578393679000,,,,,,,0.40,,,,,
1578923015000,,,,,,0.07,,,,,,
1579055596000,,,0.10,,,,,,,,,
1579320115000,,,,0.04,,,,,,,,0.00
1580910496000,,,,,,,,,,0.04,,
1581574720000,,,,,,,,,,,,0.00
1584434720000,,,,,,,,,,,0.04,
1585372283000,,,,,,,,0.00,,,,
1585504149000,,,,,0.00,,,,,,,
1585770840000,0.01,,,,,,,,,,,
1585903293000,,0.10,,,,,,,,,,
