timestamp,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0xc640caba272414689b21EbCd60d97b912359504D,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0x387182b91570E70d091e9A2078c02b326733869C,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x449E0B5564e0d141b3bc3829E74fFA0Ea8C08ad5,​0x229A731655AC91126BfefD9756C0664CFF22f938,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,Other
1588972800000,,,,0.01,,,,,0.09,,,,,
1589040204000,,,,,,,,0.13,,,,,,
1589107927000,0.04,,,,,,,,0.36,,,,,
1589174391000,0.04,,,,,,,,0.17,,0.01,,0.09,
1589241093000,,,,,,,,0.13,,,,,,
1589308656000,,,,,,0.24,,0.22,0.17,,,,,
1589375621000,,,,,0.08,,,0.26,,,,,0.14,
1589442351000,,,,,,,,0.21,,,,,,
1589509055000,,,,,,,,,,0.01,,,,
1589644333000,,0.83,1.00,,,,,0.36,,,,,,
1589711000000,,,,,,,1.25,0.55,,,,0.31,,
