timestamp,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0xd7c318E9F9129239F6bA4E10994137113dcF6244,​0x445ba6F9f553872Fa9cDC14F5c0639365b39C140,​0x7405Fe24003A50e4f4117D35E9b5a9f5E512fEdE,​0x793f6c86Da7109F83fBB9Cd6592cfA9E89a95616,​0x37B2199f06Ce7C100bB2A4C45BFC0BD895Bd5c00,​0xbDA74Df20FE9d705c6B8BBEE4F262Aae0063442B,​0x7d035A5Fb6ac29fdC28c973C5048A98e02AC5fE2,​0xcaA7e4656f6A2B59f5f99c745F91AB26D1210DCe,​0xbaCE1e5F9cb38F56fA8B096E3fe940D9c34d189D,​0xDfC70F5205a2bC1bD44219fd852D720d7a36c5b8,​0xa41792606F34a25B7BccbDD468003948f1672c22,​0x42a60D2f2FfA2150C568010A8D425f0AAD284fd2,​0xb70760bF57c3295999f978fE404F4EC906669330,​0x7Da95Acf0Eb654f6d10988d7C82F555504f03fc9,​0xE475FA98fA8A37f80387BdcE1f5377155bB01430,​0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,​0x7841bCF3FDa05ceA4B71616Dd86Dec0adE9F698A,​0x264c798666D75C0D9A27D5bed19aB10a678c709F,​0xC857B228311B5e14f0A97CBcA8e5FB274EaD502e,​0x19Ac63521615455415a716F5dcbb49D065AE8092,​0x96014FE59a91fF32FACB142970796da5DFceb50d,​0x7c0D2f1EB3dC2Cc21d6118789D26f2Db09311b1d,​0x5d6013a802E7E29e60a46492D5eCCf0B5Da75735,​0x1E3e2324213B495d5eA6eF06Eb62D70ba03c3b66,​0x2D5c570645F1D76526850994d10802C634A35969,​0x7a7892b3EF64ABeDe8348684BA57a37fd7EDC0d9,​0xc5c15B678E08A7d361d29d8f32a120FCa98369Fc,​0xe8D33722480712c945614048b4C4CbCd74C820a2,​0x9c112DCdE9aBA2634621d8315d0185e7C4B63172,​0x2a1b9e47799F0Ab964BC8D85b38031498ce06e70,​0xC3746825f13c07Dcd7e6fDb9C0c80A9aFFb18952,​0x99a811E5c62ADD613975456292F836115AEa0164,​0x1E36A5979c613F52F8CB956638B07602C7e7e1F7,​0xC231a91aaEe31ec4A6570D41c4513bDe116ccb10,​0xBb60F9F245505F3d132974169BE1c01Aa68F66f7,​0x84957E6c9F6cCfEd9C35C850c3903732Ed90858a,Other
1596740019000,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,
1596807570000,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,
1597340255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,
1597805915000,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599594452000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,
1600057881000,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,
1600986137000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1601053079000,1.50,,,,0.56,1.40,0.17,0.12,0.06,,,,0.66,,0.37,,0.49,,1.71,,0.81,,0.33,0.86,0.16,2.40,0.10,0.73,,0.20,,,0.65,2.38,,2.56,,1.86,0.04
1601120014000,0.60,0.20,,,,,,,,0.15,,0.16,,,,,,0.12,,,,,,,,0.66,,,0.50,,,,,,,,,,0.06
1601187908000,,,,,,,,0.09,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1601255204000,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601323528000,,,,,,,,,,0.15,2.72,,,0.93,,,0.52,,,,,,,,,,,,,,,1.30,,,,,,,
1601390741000,,,,,,0.91,,,,0.20,1.51,,,,,,,,,,,0.88,,,,,,0.47,,,0.06,0.98,,,,,,,
1601459154000,,,,0.35,,,,,,,,,,,,0.10,,,,0.26,,,,,,,,,,,,,,,,,,,
1601525869000,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,
