timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,Other
1610095037000,2.35,,
1610160525000,1.90,,
1610227531000,0.75,0.46,
1610293257000,0.46,,
1610360087000,3.63,,
1610426201000,1.65,,
1610491795000,1.79,,
1610558675000,0.47,,
1610624387000,1.15,,
1610756963000,0.37,,
1610823692000,0.31,,
1610890333000,0.66,,
1610956120000,0.16,,
