timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1596207016000,,2.56,0.71,,
1596273444000,0.61,2.29,,0.28,
1596339947000,2.42,4.71,,,
1596406368000,0.98,1.68,,,
1596473308000,,11.11,,,
