timestamp,​0x0B23Cf6Bb6a713461b9640511E7F2D7B92aA075A,​0x2018C700CAa9C85F678A573c8090E2F26337F222,​0xD60b471BD8C62dc4d2f04493413c6CB73b7ce464,​0xbE3cc2Cda2B3E4e5baC7ddc7Da88cF90d3adEC08,​0xcC833E509decdcc399A7c66C2ccF05D32b0a783b,​0xaC0d1d11C45a5bd0AA884696f1f701EA3a6aB96f,​0xa131d5F149ae1f162Cf92c4aFcCd8E5a1F5D6F4F,​0x7f4de4a3D9e5bAdff285743Af9a1697B1967C548,​0xBEee6E6d94b585C2373c0d7c129b3583c2F36ceB,​0xC944cd4cE17AE48070e0D5B139F2e4E0F08E27c5,​0x38742d8717c57Dc7ba97E2df7A61e26C3412fFDd,​0xFC5DE15d1C5b69431E78f4f25B49C79Cd4276E3b,​0xc06C1eCeB4a101246Cb775c2d93F601086B3A4E0,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x5645e6537e86CfD8ccdb2Ff6af79E2e1E30a60cD,​0x00709736EFFd5cBeb2aDfe6b0a9840C55b47928F,Other
1576456679000,,,0.02,,,,,,,,,,,,,,
1578393679000,,0.04,,,,,,,,,,,,,,,
1578526345000,0.04,,0.08,,,,,,,,,,,,,,
1578592894000,0.03,,,,,,,,,,,,,,,,
1578989540000,,,0.02,,,,,,,,,,,,,,
1581375300000,,,,,,,,,,,,,,,,,0.01
1581574720000,,,,,,,,,,,,,,,,,0.00
1582240159000,,0.06,,,,,,,,,,,,,,,
1583168974000,,,,,,,,,,,,,,,,,0.01
1583502285000,,,,,,,,,,0.05,,,,,,,
1583833348000,,,,,,,,,,,,,,,,,0.01
1583900197000,,,,,,,,,,0.31,,,,,,,
1584033400000,,,,,,,,,,0.59,,,,,,,
1584100621000,,,,,,,,,,0.29,,,,,,,
1584168330000,,,,,,,,,,,0.77,,,,,,
1584234522000,,,,,,,,,,0.02,,,,,,,
1589308656000,,,,0.02,,,,,,,,,,,,,
1589509055000,,,0.05,,,,,,,,,,,,,,
1589913105000,,,,,,,,,,,0.67,,,,,,
1589980117000,,,,,0.08,,,,0.38,,,,,,,,
1590383553000,,,,,,3.55,,,,,,0.50,,0.18,,,
1590652494000,,,,,,0.24,,,,,,,,,,,
1590987649000,,,,,,,,,,,,0.48,,,,,
1591256276000,,,,,,,,,,,,,,,,0.07,
1591323776000,,,,,,,,,,,,,0.93,0.21,,,
1591457899000,,,,,,,,,,,,,,,,,0.00
1591524138000,,,,,,,1.17,,,,,,,,,,
1592661070000,0.38,,,,,,,,,,,,,,,,
1593599509000,,,,,,,,0.19,,,,,,,,,
1595471028000,,,,,,,0.06,,,,,,,,,,
1595672114000,,,,,,,,,,,,,,,0.19,,
1596339947000,0.31,,,,,,,,,,,,,,,,
1597472334000,,,0.83,,,,,,,,,,,,,,
