timestamp,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0xcbBC5D06BE48B9B1D90A8E787B4d42bc4A3B74a8,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xA538311df7DC52bBE861F6e3EfDD749730503Cae,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x000000000000deab340F067535869a0e5226E58a,​0x7F9461F51a2c16aD93aDd9Fd97251Ee02aD5A6de,Other
1586767741000,0.00,,,,,,,
1591926628000,,,0.02,1.50,,0.74,0.02,
1592060020000,,,,,,,0.02,
1592259061000,,0.10,,1.32,0.05,,,
1592661070000,0.24,,,,,,,
1592861502000,,0.08,,,,,,
