timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x862563C7f619896ada7249FC5d7C956b0f0Fc94f,Other
1611952682000,4.25,,
1612019067000,0.14,,
1612085911000,1.08,,
1612150933000,0.54,,
1612550762000,0.21,,
1612617616000,0.29,,
1612883550000,0.66,,
1612950119000,0.44,0.07,
1613016059000,0.26,,
1613347854000,0.01,,
