timestamp,​0x94d97831830E26630164D4A40d7b093Da3EB3e4B,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x8FE9aa966b726895A95353B56b4f3D2B34046b80,​0x97deC872013f6B5fB443861090ad931542878126,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,Other
1598668615000,,0.13,,,,
1599197725000,,0.59,,,,
1599330041000,,1.01,,,,
1599395453000,,0.12,,,,
1599661253000,,0.43,,,,
1600589122000,,1.01,,,,
1600654235000,,1.42,,0.37,0.14,
1600719844000,,4.75,,0.14,1.34,
1600852525000,,0.39,1.80,,,
1600920149000,0.55,0.39,2.33,1.82,,
1600986137000,,2.24,,,,
