timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x24D0Db7E182fCD29DdeA14C04BCb182c89CBB0C0,Other
1598005285000,5.18,,2.94,,,
1598071853000,1.22,,,,,
1598138530000,1.30,,,,,
1598204486000,0.27,,,,,
1598337535000,0.48,,,,,
1598404244000,0.00,,,,,
1598469678000,0.54,,,,,
1598536356000,0.34,,,,,
1598602302000,1.73,0.62,,,,
1598668615000,0.95,,,,,
1598734918000,0.18,,,,,
1598801522000,0.45,,,,,
1598867833000,0.47,,,,,
1599197725000,1.67,,,1.27,,
1599395453000,1.74,,,,,
1599461746000,0.43,,,,,
1599661253000,0.63,,,,,
1599727959000,0.17,,,,0.18,
1599859185000,0.19,,,,,
1599991924000,0.24,,,,,
