timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x63e62588330657c99BA79139e7C21aF0c0DB1E7e,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0xf4dF982Bb39d4949BDA2CeD2828c673b801Eb51c,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0xfFd70ED81Bd9eeFe8D0ef4cBbfAfb40C234Ff957,​0x97deC872013f6B5fB443861090ad931542878126,Other
1601120014000,0.75,,,,0.86,,,
1601187908000,0.10,,,,,,,
1601255204000,4.02,,,,,,,
1601525869000,0.23,,,,,,,
1601592730000,0.93,,,,,,,
1601660827000,1.38,,,,,,,
1601728631000,1.60,,,,,,,
1601998104000,1.99,0.10,,,,,0.15,
1602065856000,1.90,,,,,,,
1602133843000,1.92,,,,,,,
1602202095000,1.26,0.19,,,,,,
1602337276000,0.93,,,,,,,
1602469107000,0.49,,,,,,,
1602535471000,1.56,,,,,,0.06,
1602601229000,0.50,,,,,,,
1602667579000,0.38,,,,,,,
1602732764000,0.00,,,,,,,
1602799114000,1.41,,,,,,,
1602865569000,1.15,,,,,,,
1602931980000,0.47,,,,,,,
1602998570000,0.37,,,,,,,
1603065231000,0.44,,,,,,,
1603130753000,0.09,0.13,,,,,,
1603196826000,2.62,,,0.92,,,0.70,
1603263141000,4.23,,9.86,,,,,
1603329593000,3.90,,,,,0.18,0.62,
