timestamp,​0x47Ec4F79AdF7E7C545D3dd94cC92d36EDf363B2f,​0x2A23527A6dBAfAE390514686D50F47747D01E44d,​0x1B40b0e16707170f5df69EBb753EB1a2b15966B9,​0x4b9104679469c8096064bB1c61CecD174bF9Dd81,​0x68a56B7Dd985AF5d00902dF409B683a495d9F72c,​0xc4D0EE5b642D3B429C58CC4D10BDCd92312ac180,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x80a608fA44381d589fAC3e1998ac4eb6BBdD88CD,​0xE5bf45c98B86e7d51c6173fC2CbbbED70998c3Ff,​0xAfd9034Aba776D09C52b573c0b8bEcfd2b22FB5a,​0xFa21B495Ce05CD828112412FceD21C6d622b24ea,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0xb61da177F387D15F5b07446D811Aaf1fDF91F6fE,​0x569bb831526560Bd5cFe84f2CEeeE711Bf2bC2d1,​0x0b4f4A3cfC6E5BeB9F34E6f4fCB8e8D1d57A3689,​0x250E0B96eb70558bF054C0338B32eDf7780c834F,​0xAC7DC728699A3d82615f2b0F5e21C64D95D9FAC8,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xA32fA6D58CAC547886d417f15D803Fd1B6685245,​0xD674d9DBEa02B7457408Ed2Cd21051498ec8d13c,​0x8e0EDD852cA828543d0869b48D7e053204827C98,​0x76d599643b67626c7448925B598c5999eef4bDfA,​0xdbAd4eed989b33E9430B6a08fa64D90163a4E1FC,​0xdb217AF7edd23b5d21e5f95Ea3D9DE72C235f6bB,​0x3a7405aeA7827D8c0265cA8E2BDFa19A2cE758a2,​0x39C8cbf1B750565934e395975e345A6957299b0C,​0xBc306a88F17cb88DaDcBB80A60E8a93E9B74558c,​0x765F5D2c05cE18f3B77c91f796A1B42e5679935A,Other
1580977343000,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582439543000,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,0.09,,
1583168974000,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583435384000,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
1584234522000,,,0.10,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1584300469000,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,
1584367227000,,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,
1584434720000,,,,,,,,,,,,0.10,,,,,,,,,,,,,,0.05,,,,,
1584566455000,,,,,,,,,,,,0.09,,,,,,,,,,,,,,0.05,,,,,
1584632903000,,,,,,,,,,,,0.14,,,,,,,,,,,,,,0.09,,,,,
1584699859000,,,,,,,,,,,,0.28,,,,,,,,,,,,,,0.36,,,,,
1584833664000,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
1584902413000,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
1584970249000,,,,,,,,,,,,0.60,,,,,,,,,,,,,,0.58,,,,,
1585036977000,,,,,,,,0.26,,,,,,,,,,,,,,,,,,0.40,,,,,
1585105600000,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,
1585306138000,,,,,,,,,,,,0.11,,,,,,,,,,,,,,0.09,,,,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
1585504149000,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
1585637238000,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585704243000,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,
1586236183000,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
