timestamp,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1599925296000,,0.15,
1600057881000,,0.64,
1600125024000,,1.00,
1600257235000,,3.00,
1600456406000,1.88,0.84,
1600522839000,,1.33,
1600589122000,,1.36,
1600654235000,1.36,,
1600920149000,,0.62,
1600986137000,,0.54,
1601053079000,,1.81,
1601120014000,,0.04,
1601187908000,,0.08,
1601390741000,,0.41,
1601592730000,,0.86,
1601660827000,,4.34,
1601728631000,,3.72,
1601796104000,,0.02,
1601931072000,,1.08,
1601998104000,,0.28,
1602065856000,,1.27,
1602133843000,,0.40,
1602202095000,,0.76,
1602270387000,0.71,0.74,
1602337276000,,0.34,
1602601229000,,0.15,
1602732764000,,0.48,
1602799114000,,0.05,
